logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.310202174534833	0.0156580910464525	-0.834327901420038	0.40460179682347	0.998270407324741	-4.60656204684393	0.589681191407855	-0.582592741128697	-1	9.64635379110272
AKAP8	-0.247316815308286	0.0140060556760566	-0.665189790534106	0.506318292845886	0.998270407324741	-4.61511692967337	0.93766156908568	-0.853094063078166	-1	34.4665468202389
RPS10	-0.0251160732760955	-0.014628873377423	-0.0675528491693523	0.946175857455393	0.998270407324741	-4.62988792956843	0.54473029853302	-0.562381701705746	-1	6.44016772558157
KHDRBS1	-0.115914773214517	-0.0127402307171366	-0.31176741305786	0.755382200174283	0.998270407324741	-4.62676329957066	0.614388502107018	-0.604991787390786	-1	11.4086377016967
HNRNPUL1	0.0143671435692796	-0.0133086675112758	0.038642246017561	0.969195191815691	0.998270407324741	-4.62999148731862	1.1478077266037	-1.28763030085798	-1	49.4555189822195
EIF4G2	-0.0710148098694052	0.00770095831552587	-0.191003294470557	0.848621395657829	0.998270407324741	-4.62881129450806	0.643426786329601	-0.662484892763279	-1	13.4798344296534
SUB1	-0.0683685528933004	0.00201414889859763	-0.183885852328824	0.854197603590572	0.998270407324741	-4.62890129560629	0.83670485976727	-0.999259487252648	-1	27.2656666166164
PABPC4	0.020039095682158	-0.00795384306517827	0.0538976771259637	0.95704400507711	0.998270407324741	-4.62994386893873	0.748013459729234	-0.896103583387413	-1	20.9396269598445
HNRNPU	0.0785637228508479	-0.0116018620293818	0.211307048740669	0.832756935257077	0.998270407324741	-4.62853577107396	0.640378699702139	-0.705282210862711	-1	13.2624253361637
SF3B1	-0.0260662805474349	-0.0227209307807228	-0.070108551558607	0.94414282983273	0.998270407324741	-4.62987606249965	1.08157595440881	-1.07494201757879	-1	44.7314440745797
HNRNPA1	0.0478662599349412	-0.0102754855177716	0.128742347664817	0.897627216584633	0.998270407324741	-4.62948278729326	0.756896570297169	0.59851062238813	1	21.5732273957847
CIRBP	-0.177659067797494	-0.0128223236281497	-0.477836486562345	0.633031579489144	0.998270407324741	-4.62234027814443	0.649892199488789	-0.573605460757701	-1	13.94098917549
TROVE2	-0.17476541709582	0.0163663341969572	-0.470053647770221	0.638576755671933	0.998270407324741	-4.62258911633458	0.772755877647373	-0.691690781728917	-1	22.7044149425288
SRSF1	-0.16263677593804	0.0186139960070456	-0.437432136527041	0.662037655875996	0.998270407324741	-4.62358765503855	0.594255707262845	-0.635288291589886	-1	9.97263761001623
DDX24	-0.0934950743664787	0.00507526155580429	-0.251466803242977	0.801584329434213	0.998270407324741	-4.62790889620822	0.633724525650102	-0.611733568830464	-1	12.78780695244
EIF2S2	-0.213390125801535	0.00678486797492365	-0.573939676956586	0.566336110024047	0.998270407324741	-4.6189308454182	1.0334332355707	-1.12466736649509	-1	41.2975965039688
ESF1	-0.156101004682307	-0.0238817286284977	-0.419853354804655	0.674821436222213	0.998270407324741	-4.6240959727512	0.891728521101818	-0.991919236563781	-1	31.1903071512552
TBRG4	0.0894791535380716	-0.026784093913962	0.24066547729464	0.809939576020772	0.998270407324741	-4.62808819605586	0.718442884453098	-0.661621201598794	-1	18.8304638189969
DNAJC21	-0.177558575038524	0.0237321121093064	-0.477566198603129	0.6332238121222	0.998270407324741	-4.62234898846528	0.783280857682454	-0.871897366631371	-1	23.4551240423975
SF3B4	-0.15869509013538	-0.0109400234719115	-0.426830475050225	0.669735940424493	0.998270407324741	-4.62389671351129	0.454438817124086	-0.459532371381704	-1	0
STIP1	-0.0916096978080127	-0.00136149958542768	-0.246395845021068	0.805504139984925	0.998270407324741	-4.62799405325139	1.52392535851605	-1.59781144959957	-1	76.2826414999412
RPS19	-0.20293036785956	-0.0077467783724803	-0.545806837764935	0.585507608435199	0.998270407324741	-4.61999340741505	0.679291197695832	-0.655135543705008	-1	16.0379143390049
SUCLG1	0.0284423400223567	-0.0121919266519894	0.0764992634171986	0.939060729815046	0.998270407324741	-4.62984445956932	0.739059310600211	0.864069369299742	1	20.3009595979745
SLBP	-0.01556310592229	-0.0304473130702752	-0.0418589377176138	0.966632354430207	0.998270407324741	-4.62998275292618	0.498922366587084	-0.509259651810077	-1	3.17285213511362
CNOT7	-0.0923477138812942	0.00317900844394944	-0.248380832400859	0.803969170113214	0.998270407324741	-4.62796092580455	0.557126264080193	-0.604288414264175	-1	7.32432751561493
EFTUD2	-0.200400188552153	0.0345293255080039	-0.53900160116422	0.590190171787283	0.998270407324741	-4.62024241769701	0.528139357555035	-0.523124223982207	-1	5.25679537465596
PUM2	-0.0941688207476515	0.0160171718834	-0.253278929173868	0.800184779896024	0.998270407324741	-4.62787804430029	0.863344266359774	-0.804997533021219	-1	29.1657600018237
DDX6	-0.0109637879257399	0.0155961221947359	-0.0294884914504999	0.976489928369501	0.998270407324741	-4.6300125233277	0.657582940771451	-0.665711831447253	-1	14.4895421842736
ILF2	0.132627447938139	0.0466516471917187	0.356718261162601	0.721493694107801	0.998270407324741	-4.62574973600479	0.759646325547727	-0.821432584410556	-1	21.7693575815072
SMN1	0.100203232981129	0.00345271529841357	0.26950924252551	0.787678919074114	0.998270407324741	-4.62759184164841	0.716014843444044	-0.837903224671293	-1	18.6572803569593
TARDBP	-0.0653246532818911	-0.00310899101150448	-0.175698900129895	0.860620762938991	0.998270407324741	-4.62900059452482	0.704976246606748	-0.699028635838467	-1	17.869936811611
