958	1824	4027	2765
727	1415	2184	1590
45	106	252	208
176	376	560	430
0	0	0	0
1402	3117	5175	3514
525	1136	2180	1468
513	1175	2159	1325
37	76	152	110
109	202	560	392
355	750	1143	822
1	5	12	9
146	413	603	496
459	895	1690	1178
1985	3862	7067	5515
258	541	903	651
92	205	381	307
3	5	13	7
39	94	142	129
801	1690	3103	2069
646	1726	2581	2041
0	0	1	0
136	324	476	405
2452	5975	11866	8641
148	304	537	356
959	2058	4112	2895
5	11	12	10
7	14	30	12
0	1	2	4
243	672	1199	933
428	986	1945	1349
250	552	1123	754
702	1602	2584	1766
2615	5125	11631	8060
217	496	894	646
965	1980	3736	2811
1	0	1	1
1621	3419	5356	4326
254	754	1206	988
6	22	50	31
766	1968	2437	1711
612	1756	3312	2758
1211	2777	4010	2999
0	1	1	0
751	1755	2791	2002
1270	2860	4640	3216
1192	2579	4441	3341
26	43	72	49
428	810	1449	1001
138	346	628	461
0	2	1	0
35	162	145	157
547	1392	2324	1594
4	11	29	22
0	2	5	4
9	15	22	19
670	1526	2446	1666
157	350	638	426
1233	2478	4358	2869
0	3	1	2
155	348	761	485
297	738	1224	992
0	2	4	5
583	1717	2444	2122
293	672	1617	918
1899	4651	7671	5280
7	15	18	13
2	5	4	5
219	483	758	552
655	1450	2113	1531
7	6	13	10
323	811	837	531
230	481	1090	644
231	542	1080	924
112	232	367	326
543	1259	2220	1473
103	326	469	449
44	133	301	231
4	6	14	6
0	3	5	5
94	207	469	327
515	1371	2244	1786
0	3	2	2
0	0	1	3
5	8	18	14
261	532	1063	748
82	178	124	114
110	255	628	425
215	471	750	673
588	1309	2474	1797
161	470	938	757
3	14	17	18
1038	1953	3958	2698
189	457	1082	644
592	1177	2397	1701
205	419	875	536
12	48	48	41
141	412	782	629
66	182	421	231
312	597	876	716
1476	3271	5962	4140
453	1087	1933	1474
5	15	13	20
65	125	450	264
660	1534	2496	1801
14	63	69	90
1275	4408	6534	5370
80	223	360	341
627	1524	2272	1724
3	3	2	7
33	91	198	163
0	0	1	1
338	761	1359	889
215	664	1196	1016
1540	3474	5787	4209
255	553	931	686
658	1868	3285	2786
528	1448	2821	2071
0	0	2	1
230	516	1095	729
69	171	241	210
241	556	891	663
277	623	1283	875
277	613	1239	845
586	1207	1845	1288
3	8	10	8
262	584	852	622
62	136	168	132
160	345	931	572
1	1	2	1
428	995	1331	1054
1	2	1	0
290	660	1060	709
227	493	836	505
1	0	0	1
293	657	1215	731
0	0	0	0
132	243	415	284
187	492	787	587
356	882	1402	1002
330	713	1449	951
32	92	125	84
410	964	1773	1141
0	0	1	2
83	193	681	474
81	211	310	233
1159	2599	4273	3113
4	18	40	22
0	1	7	4
167	444	530	478
277	618	1086	777
77	219	358	332
938	1976	3460	2402
1	0	3	0
1569	3557	6177	4290
1	0	1	4
22	65	93	70
24	84	115	127
0	1	1	4
1	1	11	0
2	8	20	18
85	180	336	226
0	0	0	0
18	33	198	115
39	140	235	223
63	176	282	279
346	821	1328	1083
0	1	2	0
28	75	139	144
80	205	298	264
57	229	269	256
251	609	1085	847
311	802	1321	1074
0	0	1	1
601	1381	2002	1534
45	124	294	209
0	0	2	2
113	290	307	260
1627	3333	5610	3869
0	1	4	1
296	708	1243	881
46	65	157	126
212	508	847	609
443	1218	1917	1518
2	0	2	1
85	202	375	252
111	244	408	293
607	1281	2754	1889
16	65	83	76
1301	2627	4358	2946
319	771	1046	934
192	372	586	450
75	223	141	148
104	227	382	263
63	171	288	276
908	2054	2732	1713
165	391	718	438
141	408	545	439
394	977	1392	1081
0	2	2	1
767	1857	3348	2571
119	501	728	927
20	90	96	82
699	1857	2203	1792
117	317	513	397
302	713	1474	1094
998	1934	4233	2859
2342	5508	9469	6999
4040	8505	15261	10010
553	1303	2676	1779
647	1335	2950	1967
0	3	3	4
50	131	181	173
1	3	3	1
60	113	240	173
0	2	0	2
200	499	846	630
774	1536	2034	1407
768	2351	3377	3605
1427	2980	4975	3347
552	1249	2573	1636
0	0	1	0
83	178	436	304
313	643	1156	725
79	187	250	211
1644	3299	5994	4142
1156	2881	4079	2971
253	522	1047	709
74	176	381	278
2	0	0	0
1558	3867	4458	3221
146	286	538	489
6	22	44	32
31	62	87	66
185	399	478	482
393	1150	1837	1572
3	5	5	8
0	0	2	2
1	3	4	3
276	556	956	654
114	245	464	309
41	117	287	223
27	60	80	73
66	160	233	173
358	870	1281	1092
430	864	1927	1284
270	532	1042	851
452	1003	1875	1272
349	1038	1926	1513
543	1310	1891	1614
0	2	1	0
103	137	467	351
290	805	1106	890
281	663	1086	763
40	150	205	185
162	428	747	511
32	58	212	140
1	3	10	2
375	854	1550	1192
472	996	1546	1141
462	998	1876	1204
358	902	1702	1315
234	492	1062	720
1688	4512	5356	4696
9	44	82	53
56	139	170	196
393	978	1373	924
1131	2224	4242	3024
23	51	103	67
1113	2380	2909	1919
118	391	660	676
429	924	1727	1233
142	465	573	428
380	1002	1425	1115
185	455	991	729
853	1698	3115	1988
0	0	0	0
80	175	223	168
0	0	2	1
443	996	1443	1064
175	394	784	602
6	23	91	28
794	2247	3209	2510
332	676	1569	1081
31	83	137	123
323	804	1418	1068
329	786	1066	753
1132	2321	4993	3283
0	0	1	3
588	1213	2471	1929
278	573	1367	1117
326	664	1067	806
470	856	1387	923
11	16	21	10
766	1854	3192	2104
209	555	1142	878
74	194	538	288
755	2483	3481	2707
291	815	1823	1399
364	712	1378	962
1048	2219	3116	2316
114	247	533	361
518	1123	1887	1365
172	349	551	339
283	645	998	698
133	290	589	366
47	121	294	214
247	699	1052	952
161	275	612	433
26	35	86	49
7	12	31	18
470	1260	1414	997
421	900	1544	1092
163	352	436	374
78	271	343	316
580	1673	2362	1871
1717	3745	6928	4454
525	1113	1791	1300
31	66	93	69
345	816	1252	885
140	398	576	420
69	157	343	226
504	1043	2029	1275
1	4	3	3
79	256	321	257
112	296	538	410
3629	7469	13871	9087
321	974	1723	1400
180	490	745	690
