1887	1803	1752	1625
1362	1452	1126	870
115	143	135	126
322	374	391	425
0	0	0	0
3487	3317	2101	2082
1144	1067	1023	939
976	996	828	830
80	92	103	108
274	274	255	284
626	659	543	571
2	3	18	12
287	308	213	305
1103	983	938	845
2824	2844	3889	3385
571	574	583	490
221	199	185	167
11	7	0	1
53	38	52	63
1876	1807	1388	1334
1632	1602	1366	1546
0	1	0	0
203	179	178	213
6626	6310	5959	6182
206	197	151	177
2179	2061	1477	1502
11	10	9	12
4	5	1	1
5	2	0	0
618	620	556	725
1212	1129	1043	952
670	604	447	423
1515	1541	1329	1262
7450	7299	3696	3335
589	593	460	411
2141	2261	1955	1974
2	3	2	3
4924	4831	3306	2980
671	731	642	821
6	11	16	31
1737	1677	1483	1691
1650	1514	854	1131
3040	3189	2573	2554
0	0	0	0
1577	1521	1498	1674
3163	3033	2721	2524
2809	2966	2541	2371
41	36	47	58
749	655	556	493
327	285	261	255
5	1	4	8
121	129	197	299
1107	968	759	783
10	14	6	3
0	2	0	2
11	6	22	25
1417	1457	1047	1013
343	338	355	347
2984	2785	2232	2018
0	0	0	0
327	266	281	301
601	597	677	780
0	2	2	1
1123	1141	1327	1500
593	549	568	520
3707	3630	3363	3609
10	8	6	14
1	4	1	2
580	627	493	593
1308	1264	972	1053
9	10	1	1
725	722	493	457
473	440	414	350
626	654	1272	1171
266	236	290	248
997	821	556	639
192	156	201	266
160	174	82	109
2	9	1	2
3	1	2	0
206	218	163	165
1376	1335	1597	1588
1	0	1	3
0	1	0	0
5	5	8	7
537	464	410	366
249	216	215	224
193	157	260	205
672	655	608	599
1837	1904	1856	1694
324	335	209	280
15	10	6	12
2217	2260	1569	1322
497	477	477	434
1328	1229	962	880
464	362	334	327
40	41	38	21
356	400	313	376
115	125	11	19
565	516	1434	1227
4005	3854	5222	5063
1085	972	1045	972
29	24	24	17
224	190	45	48
1785	1648	1117	1171
23	40	40	41
3041	2889	1754	2570
183	184	133	185
1381	1313	1370	1540
3	10	16	15
77	71	112	177
0	0	2	0
837	748	628	625
389	419	445	566
4377	4175	2599	2731
559	507	416	392
1254	1356	1975	2352
993	952	729	1055
0	0	1	0
402	414	236	276
154	137	167	183
635	567	265	277
709	580	558	499
677	736	491	530
1957	1918	1184	1022
3	9	4	3
605	597	491	485
95	80	90	114
404	373	378	289
0	0	1	0
977	948	724	697
2	1	1	1
437	401	381	383
439	438	424	360
3	2	1	0
694	660	807	684
0	0	0	0
325	295	215	214
386	410	374	449
737	750	745	785
760	718	620	565
55	55	70	68
817	720	634	716
0	0	1	0
230	219	127	132
222	194	156	180
2931	2855	2467	2491
26	31	26	18
0	0	1	0
529	528	451	513
631	576	295	292
115	112	115	153
1806	1723	1390	1350
0	0	0	0
3427	3355	1904	2086
0	0	3	1
60	72	275	324
42	44	26	31
0	0	0	0
1	3	0	0
10	10	4	2
193	203	202	198
0	0	1	1
49	40	9	16
61	52	55	108
221	178	107	135
874	894	630	630
2	2	1	2
72	68	49	52
118	67	117	126
116	101	90	123
503	568	585	580
692	670	539	647
1	2	3	1
1264	1093	988	1014
140	115	81	109
0	1	1	1
161	161	175	173
2802	2602	2340	2267
0	0	1	0
805	782	688	738
117	89	87	98
363	416	400	436
753	764	674	816
1	0	1	0
209	180	144	162
230	207	296	230
1335	1148	700	612
31	36	40	33
3271	2940	2064	1952
695	696	499	582
467	504	524	450
159	190	203	273
201	142	137	109
88	83	83	123
1956	1773	1186	1357
386	363	189	182
307	359	497	601
1100	1083	1536	1450
1	1	2	0
1519	1507	1339	1544
292	303	468	716
34	34	32	60
1645	1502	1443	1849
259	248	211	234
707	722	598	608
2333	2232	1630	1602
4125	4347	5780	5276
10377	10043	10396	9087
1300	1202	1347	1253
1427	1298	1290	1216
2	2	9	8
96	83	78	132
2	0	9	11
90	90	94	113
1	0	1	0
404	421	419	452
1868	1764	1405	1225
1159	1346	2707	3476
2604	2636	2360	2253
1532	1372	1305	1217
0	0	0	0
158	128	123	140
500	482	395	408
167	184	140	128
3448	3211	2914	2757
2797	2678	2029	2271
512	475	470	438
211	221	136	131
0	0	1	1
3966	3926	3338	3312
193	198	199	247
41	43	30	15
80	94	87	68
392	463	294	339
826	892	881	1131
3	4	7	1
1	1	0	0
3	1	4	4
923	874	594	583
199	207	210	180
105	134	42	56
74	73	58	56
176	155	127	115
1039	969	1117	1169
979	980	504	578
996	1021	524	553
955	884	795	774
755	715	630	924
1161	1213	1591	1677
0	1	0	0
101	135	149	192
663	740	508	501
686	615	657	593
86	98	80	114
312	343	313	306
74	71	64	72
4	4	2	2
883	932	982	1066
1243	1247	1416	1217
848	751	647	520
777	858	807	865
464	493	381	327
3487	3567	3548	3820
27	23	29	35
163	164	140	133
808	886	578	612
2769	2689	1827	1792
53	52	39	44
2677	2517	2300	1978
263	308	340	412
1095	1106	796	789
351	308	236	350
841	827	868	1003
477	468	556	589
2478	2344	1184	1014
0	1	0	0
195	212	72	72
3	0	0	0
829	838	970	879
426	451	421	441
12	17	31	31
1582	1502	1476	1948
761	732	629	558
64	65	43	56
602	628	567	574
705	615	1232	1132
2252	2243	2315	2081
0	0	0	0
1354	1280	1094	1184
894	946	795	824
586	534	546	557
997	903	663	624
18	17	11	17
1252	1116	804	929
483	454	392	491
251	237	202	205
1694	1565	1303	1711
680	722	286	390
819	765	671	632
2334	2158	1277	1186
267	245	212	179
1491	1552	1826	1607
281	268	189	202
568	607	386	408
298	265	183	180
140	130	71	81
561	551	641	732
383	353	200	183
97	100	21	27
13	24	1	2
860	812	850	1003
970	957	723	570
339	255	249	270
143	139	153	254
1149	1184	904	1092
3367	3012	2295	2179
1262	1133	922	792
113	108	46	70
753	723	468	462
296	293	228	286
166	136	85	86
1021	1030	789	755
2	0	1	1
122	102	220	321
252	191	135	172
8158	7728	7740	6416
637	647	858	1036
494	405	218	306
359	135	47	17
1	2	1	0
813	788	631	790
1770	1884	1987	2006
1206	1148	1319	1293
1531	1449	1013	970
119	94	51	56
0	0	0	0
875	879	1162	1363
11	3	8	9
1142	1178	1012	917
337	325	222	183
1	1	0	0
5	14	4	5
2319	2136	1892	1661
3205	2994	2166	1958
203	223	171	175
4	14	2	0
756	687	541	505
7	6	10	17
37	30	13	18
451	472	346	442
786	704	109	152
38	41	37	43
40	51	4	7
1	0	0	0
1365	1327	2553	3338
805	790	719	587
169	190	162	242
13	12	5	10
358	383	381	443
486	506	418	379
1192	1086	938	946
11	11	10	9
603	574	629	485
1781	1816	1974	2312
1391	1282	1041	858
18	21	46	36
34	30	21	21
874	808	412	357
0	2	0	0
0	0	0	0
1037	968	778	747
1435	1331	1120	974
247	248	469	467
5	1	1	2
1512	1440	1203	1212
0	0	0	0
1814	1720	1479	1504
235	214	185	191
662	571	561	528
3	5	2	4
377	381	329	494
3690	3364	2167	2145
2023	1895	1569	1288
1190	1121	972	857
696	625	526	589
78	81	60	53
1248	1165	1017	958
86	73	56	51
185	175	181	139
506	466	331	309
1728	1667	1605	1487
6081	5863	5797	5884
135	122	84	104
169	142	131	176
387	384	331	292
1379	1221	1204	1141
33	29	18	10
681	610	510	388
182	167	166	132
26	21	20	13
492	442	478	431
1079	1059	832	907
18	31	25	28
328	305	214	258
17	19	15	16
283	266	317	409
1427	1264	898	937
2535	2426	3103	2668
1841	1763	1243	1223
0	0	1	0
158	159	156	204
200	203	239	243
2458	2438	1881	1769
4	2	0	0
30	22	10	10
470	436	365	422
285	298	181	205
15	15	12	13
2171	2329	1577	1343
150	187	74	110
11	8	10	6
417	400	274	243
0	1	0	1
992	968	729	625
4	8	8	7
357	363	312	276
2143	2113	1780	1804
247	241	280	254
393	319	216	219
4027	3941	3633	3048
1404	1315	1153	1139
3	4	5	2
1079	1043	822	718
909	942	803	677
1031	1010	1058	884
