2270	2371	4420	4138
2170	2186	3018	2720
116	97	435	448
272	260	233	222
0	0	44	31
3455	3532	10347	10062
1496	1562	3291	3369
883	844	2071	2086
113	85	310	348
406	352	1076	1079
841	750	1105	1223
3	8	393	323
571	428	411	521
1179	1131	2253	2166
13065	13571	4094	3943
613	670	988	1004
195	202	387	387
0	0	89	115
155	107	352	386
2129	1979	3771	3764
3291	2937	3614	3744
3	1	0	1
437	277	609	747
7377	6702	6121	6707
499	479	1262	1320
2277	2220	6936	6967
23	28	33	28
1	0	29	21
0	2	54	74
847	580	1033	1214
1463	1488	1867	1744
1069	1045	1326	1269
1909	1936	2313	2300
20099	20949	19357	18340
498	533	568	609
2195	2152	2547	2715
16	17	3	1
13080	12925	4356	4271
1385	1275	2309	2498
11	15	23	27
2768	2663	2544	2754
2077	1391	5044	5375
4024	3710	4956	4951
0	0	13	9
1999	1861	3524	3744
3453	3324	4231	4434
2976	2695	2261	2411
54	53	81	131
553	662	1850	1809
363	372	612	629
5	3	2	2
137	72	65	97
2175	2086	3136	3152
10	1	19	14
9	13	7	12
4	5	16	22
1716	1755	2754	2801
444	507	709	671
2603	2627	5483	5254
0	0	0	3
307	338	969	963
1165	950	895	983
0	0	27	19
2911	2216	2239	2721
573	568	1345	1316
10307	9756	6632	7179
11	11	64	66
1	0	3	15
693	627	1207	1158
882	905	1149	1232
3	1	100	107
778	684	958	1054
533	576	1643	1614
1416	1647	509	500
255	265	159	165
1326	1327	3397	3718
444	333	642	721
198	170	282	358
2	8	8	11
8	6	15	25
226	204	583	599
1657	1385	1032	1022
0	0	2	1
1	0	3	3
19	30	20	8
826	882	1208	1171
219	191	798	872
268	316	820	746
1134	1060	537	447
1694	1639	1239	1218
932	695	2283	2527
10	7	12	8
2698	2663	4853	4463
394	382	940	986
1048	1036	2907	2815
695	630	1027	1037
246	244	40	37
768	621	438	466
14	13	612	864
1675	1806	757	730
5721	5689	6203	6021
1363	1313	1442	1467
60	48	68	59
26	37	639	605
2372	2454	4145	4019
57	51	159	166
4177	2573	5554	6579
163	109	291	374
2625	2573	2283	2239
14	9	3	6
124	84	172	230
0	0	7	7
762	809	1060	1060
929	635	2104	2399
5694	5598	8407	8466
832	688	885	941
3963	3258	1014	1196
1471	1099	3402	3893
0	1	1	1
639	473	3183	3727
159	162	154	196
467	370	571	669
1036	1191	1155	1130
814	716	2510	2700
2061	1940	2048	2048
0	0	217	244
595	543	1242	1212
142	117	73	115
320	396	1200	1036
0	0	0	0
1104	976	1084	1076
3	1	1	0
518	559	598	571
406	426	493	452
1	1	4	8
861	966	987	1047
2	2	0	0
478	434	450	441
737	677	684	834
868	812	1911	2056
918	912	1332	1282
109	104	284	319
788	746	1510	1672
0	0	0	2
386	384	2547	2525
325	362	701	694
6421	6396	3856	3798
41	51	105	93
3	8	1	4
1150	896	959	977
612	628	1001	1030
269	191	838	915
2311	2226	3922	3789
0	1	2	4
3398	3305	5427	5749
0	1	3	1
62	56	146	165
369	262	361	438
0	0	0	2
2	0	35	35
5	2	5	6
228	193	307	306
0	0	0	0
0	3	83	64
197	118	380	492
135	89	430	547
1054	877	1384	1388
0	1	4	8
185	101	989	1161
460	283	610	677
305	196	571	654
710	624	952	1037
1240	1027	633	688
0	0	2	2
1349	1210	2321	2395
106	113	284	334
2	2	29	20
99	114	54	51
5003	4997	9371	8895
0	0	20	18
994	873	1297	1311
48	64	61	64
438	371	979	1018
1913	1712	1876	2003
0	4	0	0
136	150	397	345
203	245	736	724
2094	2054	3670	3159
56	59	311	331
4906	4902	5555	5416
935	627	1081	1204
519	542	969	888
830	647	102	96
279	254	427	381
345	234	398	427
2544	2477	1751	1613
429	426	1042	1107
430	339	268	296
2766	2472	513	579
0	3	1	1
3811	3090	2726	2886
1119	677	599	749
99	94	162	207
2223	1760	3091	3473
421	385	638	657
681	626	1227	1184
3573	3855	4544	4212
14057	13445	11682	10772
13732	14080	16857	16142
1407	1360	3680	3666
1001	1026	2494	2354
4	5	1	2
323	257	81	93
7	12	3	3
159	140	265	282
0	0	1	5
455	369	766	852
2242	2204	3572	3481
3723	2516	259	298
2745	2809	2780	2727
1833	1730	2438	2391
0	3	2	1
143	137	463	520
545	546	1294	1399
217	244	257	231
3766	3980	3766	3879
6236	5219	4631	5136
870	925	1700	1628
487	484	361	460
4	2	1	1
3356	3106	1731	1816
370	313	459	561
44	55	70	71
123	116	112	140
1020	760	888	970
1465	1092	1398	1655
15	5	19	20
0	4	7	9
3	3	14	18
882	901	1609	1677
264	282	472	489
136	128	293	292
124	124	241	282
249	222	390	365
1349	1383	860	900
771	727	1582	1663
1200	1035	1065	1072
1078	1000	1496	1486
1771	1341	3148	3620
2754	2451	703	836
