p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
NUFIP2	2.80742791704353e-09	1.30756425717646e-08	5	66.2	72	2.80742792059026e-10	2	1.84461214822763	-1.61812544628745	-1	100	61	141	2	100	2	66	109	78	94	9
KIF1C	4.65589954324167e-08	5.3018046821885e-08	60	66.6	58	4.65589964078997e-09	29	1.30666900985231	1.37111665529237	1	47.1874023607111	76	57	58	76	173	59	42	29	58	38
RTF1	3.57365302924912e-08	4.21562662731783e-08	15	69.5	69.5	3.5736530867186e-09	7	1.25000302155307	-1.28183321724372	-1	44.1685524274334	11	87	83	116	167	13	19	7	136	56
EIF4A3	4.25777972850779e-08	4.90516144161424e-08	20	69.7	58	4.25777981008689e-09	16	1.51621282613007	-1.36445534515645	-1	63.7146711112897	78	38	16	23	171	83	98	141	30	19
SUPT6H	5.05915915349023e-08	5.66280882521349e-08	30	70.2	39.5	5.05915926866814e-09	22	1.50001590017574	1.49126841386702	1	61.4915566825716	28	120	24	119	176	30	22	38	104	41
EIF2S1	5.58742551497315e-09	1.30756425717646e-08	50	70.2	50	5.58742552902184e-10	2	0.929675916548863	0.942694895972303	1	24.3473256126372	46	8	188	58	77	53	47	42	2	181
SUCLG1	4.00955860788854e-09	1.30756425717646e-08	25	70.4	55	4.00955861512298e-10	21	1.1847679019263	1.26900263392281	1	45.4399332069124	21	78	115	73	37	31	33	22	144	150
DNAJC21	4.07192700842045e-09	1.30756425717646e-08	40	71.4	44.5	4.07192701588171e-10	15	1.41971855040798	-1.3619132280037	-1	64.8671285580801	39	122	47	155	41	42	71	15	142	40
SF3B4	5.78101948228564e-09	1.30756425717646e-08	55	71.4	69.5	5.78101949732471e-10	7	1.13868041042807	-1.06608005135284	-1	41.629129932406	55	12	120	29	84	92	127	133	7	55
SAFB2	4.33677623348027e-09	1.30756425717646e-08	10	72.6	32.5	4.3367762419437e-10	5	1.49907004374009	1.8199767041201	1	71.4284084367768	187	16	15	5	49	168	128	142	6	10
ABCF1	3.87780138833532e-09	1.30756425717646e-08	90	72.7	78	3.87780139510212e-10	15	1.25250461514445	-1.27622822783016	-1	51.0408301128751	69	26	87	15	35	87	129	116	126	37
UCHL5	4.93485699358423e-09	1.30756425717646e-08	55	73.1	53	4.934857004543e-10	11	0.88309545799682	0.873745105200789	1	20.4957607257751	52	23	194	64	61	41	38	54	11	193
ZRANB2	1.56789996761148e-08	2.15997408125497e-08	10	74.2	90	1.56789997867387e-09	1	1.13112500855986	1.19860028479348	1	38.4182706097515	19	118	128	134	143	10	9	1	75	105
APOBEC3C	4.51935529788503e-09	1.30756425717646e-08	80	74.5	84.5	4.51935530707609e-10	7	1.54841742615248	-1.38312824143806	-1	75.5087599675754	80	80	7	102	51	93	108	89	121	14
EXOSC9	4.45715963122363e-08	5.10500260087823e-08	5	74.8	60.5	4.45715972062184e-09	1	0.945686368882155	0.90158325872017	1	19.8038688870595	1	31	170	90	172	1	1	4	139	139
DDX3X	3.48300020885581e-09	1.30756425717646e-08	25	75.5	52.5	3.48300021431489e-10	23	1.06267638626219	-1.04916464759108	-1	35.3446398299644	23	106	151	169	25	36	61	44	42	98
PUF60	8.11802734932372e-09	1.42672664633111e-08	35	75.7	66	8.11802737897976e-10	26	1.32688112380556	-1.29465742180132	-1	56.6636041443209	40	159	89	135	112	26	31	33	65	67
SMNDC1	4.94211768080839e-08	5.56341247496716e-08	15	77.9	48.5	4.94211779071876e-09	12	0.853813500801069	0.852542485515744	1	12.4428133225047	12	18	192	74	175	15	13	35	62	183
MAGOH	4.23861266032243e-09	1.30756425717646e-08	30	78.1	66	4.23861266840704e-10	18	1.51539693465087	-1.28131396423915	-1	72.7784183271549	111	84	28	24	48	127	151	162	28	18
DKC1	4.15829809012358e-09	1.30756425717646e-08	35	78.3	50.5	4.15829809790473e-10	23	1.53283709722817	-1.34403918726173	-1	74.2204805114256	190	56	23	31	45	155	115	92	41	35
RRP9	1.17587972729882e-08	1.75491141119596e-08	110	79.3	74	1.17587973352094e-09	22	1.53672309982009	1.73817203960009	1	72.4820607042092	106	124	22	130	132	79	65	36	69	30
RBM22	2.84853497001715e-09	1.30756425717646e-08	5	80.3	93.5	2.84853497366851e-10	1	1.09780726675629	-1.08977898366876	-1	38.2494816877238	102	15	149	37	4	116	130	164	1	85
FASTKD2	3.50159219695975e-08	4.15550399277754e-08	135	80.4	82	3.50159225213492e-09	4	1.13801898508593	1.04819302064659	1	35.5806073803274	7	74	90	131	166	12	4	12	176	132
ZC3H8	7.21480116126929e-09	1.35363412263814e-08	70	81.1	69	7.2148011846933e-10	17	0.862653007363251	0.851688872166443	1	18.6693856775197	45	69	193	69	105	20	17	34	71	188
CSTF2	3.13379505008581e-07	3.23223887364872e-07	20	81.3	75.5	3.13379549201612e-08	18	1.36007227940112	1.42808987225011	1	40.0633614693775	18	155	75	91	191	34	29	40	76	104
EIF4G2	3.75816596031516e-09	1.30756425717646e-08	145	81.4	44.5	3.75816596667087e-10	8	1.39538431034305	-1.36864304301517	-1	62.8550207451468	145	25	34	39	30	185	123	175	50	8
TRIM56	6.51624984232763e-09	1.30756425717646e-08	65	81.4	68.5	6.5162498614353e-10	45	1.24155254656385	1.42568501962492	1	50.135244292237	60	45	105	62	95	65	72	51	164	95
G3BP1	3.98047806280477e-09	1.30756425717646e-08	55	82.1	77	3.98047806993467e-10	32	1.0558981125702	1.07902382711585	1	34.7841695864941	74	90	153	120	36	54	52	32	80	130
PNPT1	8.34262908534958e-09	1.42912863462075e-08	125	83.6	102.5	8.34262911666932e-10	13	1.6797570319657	-1.66894376262152	-1	85.6885393719058	94	121	17	13	115	122	143	111	68	32
HNRNPC	1.23345549844365e-08	1.79993135698814e-08	70	83.6	82	1.23345550529e-09	5	1.11389286251784	-1.13772688786815	-1	37.9580170885876	66	5	137	41	135	75	92	169	27	89
LARP4	6.56607536684422e-09	1.30756425717646e-08	40	83.8	81.5	6.56607538624522e-10	36	1.05768195753567	-1.08511014206014	-1	34.9316690926434	36	70	142	106	96	38	56	84	79	131
HLTF	3.32120064399372e-08	3.96531228404099e-08	20	84.2	71	3.32120069363041e-09	17	0.975140384829733	0.97700752867114	1	23.1787435651406	17	72	172	96	165	33	26	21	70	170
GRWD1	3.81719304538811e-09	1.30756425717646e-08	195	85.9	70.5	3.81719305194504e-10	34	1.45596126394456	1.59362737243434	1	67.8639037552607	192	59	52	38	34	130	102	121	82	49
TAF15	2.13872089614643e-07	2.21751587653077e-07	130	86	95.5	2.13872110198217e-08	11	1.26254260547084	1.32893432546139	1	35.5908901230163	30	130	74	117	190	11	11	23	148	126
BOP1	3.15373961414974e-08	3.83510311103394e-08	105	86.1	74.5	3.15373965890706e-09	31	1.47512451471882	1.62012742609823	1	62.2182497343255	103	137	63	86	162	51	36	31	145	47
AUH	7.28950418837765e-08	7.93388024922871e-08	85	86.2	82	7.28950442749358e-09	32	1.12910706274753	-1.06890224751963	-1	31.5645131132127	32	44	82	121	181	60	95	82	95	70
SF3B1	2.8527449840902e-09	1.30756425717646e-08	50	86.5	62	2.85274498775236e-10	5	1.27576520871534	-1.20146828757678	-1	52.9641620900633	49	178	73	162	5	43	51	39	188	77
CPSF7	1.22195571539873e-08	1.79645728308619e-08	125	86.7	87.5	1.22195572211802e-09	1	1.85257028583705	2.22902769425045	1	97.9774974943119	123	170	1	129	134	69	48	65	106	22
AATF	1.12596647408857e-08	1.70627227227268e-08	35	86.8	94.5	1.12596647979367e-09	7	0.971790868673099	0.911305521978928	1	26.6515392241626	35	75	165	114	130	18	7	14	189	121
