p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
KHDRBS1	5.75962686363567e-09	1.30756425717646e-08	145	117.7	116	5.75962687856366e-10	49	0.924934232993529	0.991150362491139	1	23.9552534335724	125	144	189	143	82	107	89	70	49	179
PPIL4	3.92796576595533e-08	4.60600747555476e-08	155	118.4	115	3.92796583538544e-09	60	1.13375995678448	0.862551881480441	1	34.719318766438	154	77	123	88	168	91	60	178	107	138
PARN	1.41033481816599e-08	2.01330405201957e-08	100	119.1	107	1.41033482711669e-09	60	1.20515350762525	1.27206437920259	1	44.7561798379308	97	153	60	148	138	99	97	99	185	115
PUM1	6.78519957705658e-08	7.42602398155636e-08	145	119.2	142.5	6.78519978423178e-09	11	1.71695272636606	-1.57668509025313	-1	75.8608404386913	189	183	11	141	180	144	107	147	74	16
KHSRP	5.55548795026174e-07	5.67062759689929e-07	50	119.4	111	5.55548933911731e-08	48	1.1745972146618	1.33292178332299	1	24.4294821666206	48	188	140	170	193	88	82	63	105	117
UPF1	1.60288045547754e-08	2.19282951200746e-08	145	120.3	135.5	1.60288046703905e-09	35	1.10842757788226	0.97475800945699	1	36.5171764219591	193	43	127	49	144	174	144	188	35	106
DHX30	5.28679717057185e-09	1.30756425717646e-08	185	120.4	134.5	5.28679718314945e-10	32	1.07811081440756	1.06695601836783	1	36.6208552933026	183	96	162	53	71	178	160	117	32	152
PES1	7.68605448261471e-09	1.40199327136583e-08	85	120.7	116.5	7.68605450919865e-10	78	0.939080626903236	0.920000416362414	1	24.8266941025611	81	125	146	171	108	82	78	101	154	161
XRCC5	1.66211932771489e-07	1.73247358497267e-07	95	120.8	110.5	1.66211945203373e-08	65	1.34296409653148	-1.18411681103149	-1	42.7136264163307	91	109	65	87	189	112	138	161	172	84
DDX19B	2.83913217129678e-08	3.56247794742335e-08	160	121.7	131	2.8391322075698e-09	55	1.12482852688385	-1.20355561971125	-1	35.348342795272	157	79	107	77	157	164	159	126	55	136
PABPC4	2.91295268691741e-09	1.30756425717646e-08	120	123.2	120.5	2.91295269073579e-10	6	1.13927952985131	1.25348056456373	1	41.6786688894131	117	115	124	194	6	117	132	112	153	162
TIA1	9.44466215310591e-08	1.01672046129064e-07	90	123.6	102.5	9.44466255451332e-09	56	0.822389279395358	0.757109098661724	1	7.79302993632154	56	102	195	139	183	86	103	88	89	195
GPKOW	3.80135218596999e-09	1.30756425717646e-08	145	123.6	136	3.80135219247261e-10	33	1.08962644401	1.04332973404973	1	37.5730398789763	141	108	131	81	33	153	150	102	174	163
SF3A3	3.19537009471117e-09	1.30756425717646e-08	180	124.5	132.5	3.19537009930585e-10	17	0.989875392008439	0.957598725656751	1	29.3249963590202	179	61	177	125	17	157	131	154	110	134
SUB1	2.2070743287407e-08	2.89389542446111e-08	100	124.6	99.5	2.207074350661e-09	59	0.836775544947735	0.78721359760863	1	13.6376733529069	59	98	184	99	150	76	88	100	196	196
BUD13	3.79963433726983e-09	1.30756425717646e-08	190	124.9	130.5	3.79963434376658e-10	32	1.01558737486604	-1.14539259494529	-1	31.4510245997106	188	117	135	85	32	126	94	171	143	158
RBFOX2	1.39174652824526e-07	1.47405411862535e-07	190	124.9	133.5	1.39174661540839e-08	44	1.18668910635759	1.2456375123693	1	32.5043830881978	44	196	66	187	186	56	57	108	190	159
HNRNPU	3.29559911461372e-09	1.30756425717646e-08	160	125	152	3.29559911950116e-10	19	1.03310765766689	-1.04938876436668	-1	32.8997116273021	158	35	158	52	19	176	187	177	146	142
SLTM	5.9332760578158e-08	6.56660327747029e-08	125	125	123	5.93327621623273e-09	68	1.16678363138623	-1.24761384512528	-1	35.3756924459462	122	104	102	132	178	124	149	158	113	68
DNAJC2	4.29187364320076e-07	4.40364118599245e-07	195	125.1	131	4.29187447210905e-08	32	1.69456895405828	1.98902655416576	1	60.4472360041766	96	192	32	165	192	133	125	135	129	52
SUGP2	2.34537584997968e-05	2.34537584997968e-05	75	125.2	114	2.34540060389283e-06	29	1.5789631714435	1.44190598434185	1	24.1494037471883	71	193	29	176	197	106	93	122	191	74
ASCC1	1.26054540848704e-08	1.82593709905843e-08	110	125.5	119.5	1.26054541563742e-09	76	0.892561214788612	-0.770030468472414	-1	19.9208028878146	108	76	169	123	136	96	116	90	163	178
HNRNPK	1.95079937515392e-08	2.59667214125218e-08	150	126.2	144	1.9507993922792e-09	50	1.33800242400523	-1.52012452633875	-1	53.9289560949047	82	182	97	140	148	162	196	148	57	50
DDX55	6.32373848376157e-07	6.42152825412902e-07	105	126.7	113	6.32374028329737e-08	67	1.32776095640198	1.22831279967759	1	33.711871602928	104	181	67	159	194	109	105	103	117	128
NONO	8.2776077628626e-09	1.42912863462075e-08	190	127.6	127	8.27760779369604e-10	47	1.17946058969566	-1.1450450727501	-1	44.5234781789434	156	71	134	47	114	171	190	186	87	120
YBX3	2.8446403445524e-09	1.30756425717646e-08	175	127.7	166	2.84464034819379e-10	3	1.52427871483799	-1.25231244103306	-1	73.5128196998533	164	172	40	158	3	169	197	173	168	33
FMR1	1.91813349519428e-08	2.5705598541039e-08	125	128.5	124	1.91813351175084e-09	71	1.09292883971083	-1.2007816584755	-1	34.4809247048414	79	163	118	160	147	71	112	124	187	124
RCC2	3.48114596696424e-09	1.30756425717646e-08	120	130.5	140.5	3.48114597241751e-10	24	0.932803344608117	-0.989125233600589	-1	24.6059210080807	119	114	181	138	24	143	165	156	88	177
CCAR2	3.07910751799075e-09	1.30756425717646e-08	175	130.5	161.5	3.07910752225715e-10	12	1.36956439378809	-1.28498098816119	-1	60.7200678684237	160	174	43	152	12	177	171	163	171	82
QKI	4.06945496744063e-08	4.74368419281541e-08	150	131.4	141	4.06945504196272e-09	46	1.05961735316203	-0.950617152701729	-1	28.8718479389428	83	46	145	122	169	119	147	197	137	149
SRFBP1	4.99183604544674e-09	1.30756425717646e-08	165	132.9	149	4.99183605666003e-10	62	1.02552252855349	-0.982418990046697	-1	32.2725255096978	186	92	161	84	62	166	141	115	165	157
HNRNPA0	4.04294223195259e-09	1.30756425717646e-08	180	134	148.5	4.04294223930801e-10	40	1.25710284642243	-1.15825673387294	-1	51.4210407566184	178	116	77	180	40	179	181	166	131	92
IGF2BP2	3.45368280283948e-09	1.30756425717646e-08	115	135.7	135	3.45368280820705e-10	23	0.943924330063361	0.942353322852324	1	25.525473936888	112	136	180	197	23	113	134	132	150	180
AKAP8L	7.10362325928501e-09	1.3455901750761e-08	195	135.9	159	7.10362328199267e-10	33	0.90172370566552	0.837325293060652	1	21.9183150040823	195	58	163	97	104	184	155	194	33	176
ILF2	2.67846812575134e-08	3.38242449213471e-08	150	137	146	2.6784681580352e-09	78	1.33955370489493	1.40869737050931	1	52.4392976995575	146	191	111	174	156	146	124	153	91	78
TFIP11	4.14801107911258e-09	1.30756425717646e-08	160	137.3	141.5	4.14801108685528e-10	44	1.12654437015109	-1.08698620433868	-1	40.6256458953363	132	123	100	185	44	160	186	160	138	145
PA2G4	8.02314532763805e-09	1.42392759418441e-08	115	138.1	129	8.02314535660492e-10	103	1.15085261686623	-0.950537956950395	-1	42.1886887740411	115	176	136	175	111	103	122	120	186	137
CCAR1	9.91054704319918e-08	1.06107487364687e-07	195	138.5	168	9.91054748518444e-09	41	0.815707306190313	0.775261306752854	1	7.14429101851941	41	152	190	192	184	73	81	80	195	197
METAP2	9.45452834555878e-09	1.51426185697161e-08	130	140.1	146	9.45452838578344e-10	24	0.96906234429376	1.06709230434414	1	26.9562112743285	169	128	175	126	123	170	195	127	24	164
XRN2	1.33344432153814e-08	1.91743453535046e-08	170	140.2	151.5	1.33344432953947e-09	65	1.00727898760373	-1.0333338798332	-1	29.0075542480846	197	66	166	65	137	187	177	131	109	167
SMN1	9.68937163068346e-09	1.52704496899571e-08	170	140.4	143.5	9.68937167293123e-10	93	1.2516937011924	-1.33378156552688	-1	50.0890745312371	166	162	93	110	125	195	188	98	170	97
ESF1	8.80367124990025e-08	9.5292485507162e-08	135	140.7	153	8.80367159867107e-09	51	1.35797706535081	-1.55466131845944	-1	47.475911737534	150	133	51	133	182	191	156	183	177	51
RECQL	4.10455783869215e-09	1.30756425717646e-08	190	142.2	143	4.10455784627347e-10	42	0.896501030810324	0.866533343526757	1	21.6042176869507	92	134	187	184	42	129	152	119	193	190
PHF6	3.37570862252713e-09	1.30756425717646e-08	180	142.4	170	3.37570862765506e-10	20	1.19795025130599	1.41119839726598	1	46.5299326525048	176	173	121	195	20	180	167	60	178	154
NUSAP1	3.09759937927931e-09	1.30756425717646e-08	145	143.9	146.5	3.09759938359711e-10	13	0.942009572085705	0.954598935521343	1	25.3671497206218	118	145	186	191	13	145	148	129	182	182
CPSF6	3.318863816834e-08	3.96531228404099e-08	160	144.1	161.5	3.31886386640086e-09	5	1.00358618473236	-0.862840097070978	-1	25.3870701813612	196	127	157	188	164	172	163	109	5	160
ILF3	5.12661512157257e-09	1.30756425717646e-08	170	146	160.5	5.12661513339956e-10	66	1.13817394650664	-0.934646956309508	-1	41.5872523142613	168	166	133	164	66	182	189	157	156	79
NCBP2	1.03728597267383e-07	1.10456938711754e-07	170	147.8	167.5	1.03728602109213e-08	72	1.46974339765445	-1.40315182986024	-1	54.7176146414375	163	190	78	167	185	192	168	182	81	72
TUFM	5.7188634747736e-09	1.30756425717646e-08	195	147.9	164.5	5.71886348949103e-10	64	1.36224409586105	1.52338775306779	1	60.1147796567232	191	161	64	186	81	194	180	167	162	93
HNRNPUL1	6.60709025440945e-09	1.30756425717646e-08	165	148.4	163.5	6.60709027405358e-10	38	1.55391644453726	-1.50780615837896	-1	75.9634533471901	161	179	38	150	98	189	174	196	166	133
NAA15	1.48160150470639e-07	1.56083153169604e-07	190	149	167	1.48160160348784e-08	66	1.39125231459634	-1.39541979361932	-1	46.7992147686791	147	189	69	168	187	197	166	193	108	66
PSIP1	2.2181634979372e-08	2.89389542446111e-08	175	149.2	158	2.21816352007832e-09	85	0.944096611927042	0.878075935929015	1	22.1232871328821	85	165	173	193	151	104	104	150	194	173
RBM34	5.46304059067535e-09	1.30756425717646e-08	125	149.7	157	5.46304060410552e-10	75	0.886368504948609	-0.976485303501227	-1	20.7663968058918	121	129	167	183	75	137	179	165	149	192
GTF2F1	1.02295699199497e-08	1.56219013506209e-08	195	150.1	163	1.02295699670396e-09	42	1.51310235555794	1.67487279159017	1	71.3623891799584	194	177	42	154	129	181	193	172	141	118
AGO1	1.45610399566664e-08	2.03441480245623e-08	175	151.8	170.5	1.45610400520772e-09	88	1.33381705153576	-1.45729458059663	-1	55.0785585756351	177	194	88	172	141	186	172	107	169	112
EWSR1	6.56639935907313e-09	1.30756425717646e-08	160	153.7	158.5	6.56639937847605e-10	97	1.02777429030087	0.99131552028224	1	32.45871531438	171	158	176	189	97	159	135	155	128	169
PPIG	5.02774134076567e-09	1.30756425717646e-08	160	154.3	156.5	5.02774135214084e-10	63	0.956420089430597	-0.966294645330533	-1	26.5587018077505	139	111	156	196	63	156	191	185	157	189
LARP7	1.45345333062294e-08	2.03441480245623e-08	180	156.8	166	1.45345334012931e-09	87	1.2100990705211	-1.26404247180958	-1	45.0978899792295	87	197	171	178	140	152	164	176	135	168
FAM120A	1.52197118626473e-07	1.59483150901144e-07	160	163.4	163	1.52197129050257e-08	93	1.37070369384078	1.31982060908373	1	45.1976743764154	159	195	148	179	188	167	157	195	93	153
XPO5	8.51759753026823e-09	1.44652302884728e-08	175	165	172.5	8.51759756291549e-10	116	1.09795119616952	-1.11428336999337	-1	37.7562715860768	155	186	147	173	116	183	194	145	179	172
UBE2L3	5.44295660981274e-09	1.30756425717646e-08	190	165.3	176.5	5.44295662314433e-10	74	0.866626781003204	-0.927283696404383	-1	19.1340270715043	152	187	185	177	74	148	176	170	197	187
