	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	1.6860754360169e-06	0.0001403590017512	5	22.4	5.0	1.68607671530093e-07	1	0.900138736181632	-0.877744063980779	-1	82.2104569608618
EIF3D	9.15541712188628e-06	0.0001403590017512	5	31.5	26.5	9.1554548418532e-07	2	0.853770055685548	-0.770840558524592	-1	76.0713208491773
AKAP8	4.12910164076771e-05	0.0001403590017512	5	33.0	14.0	4.12917836543575e-06	2	0.700081689092245	-0.591427083641299	-1	55.7232369441711
EIF3G	6.20044175446087e-05	0.0001403590017512	25	34.7	24.5	6.20061476590574e-06	1	0.67029679130826	-0.661144548591233	-1	51.7797660579566
RBM17	4.50917860005433e-05	0.0001403590017512	45	36.9	38.0	4.50927009977982e-06	3	0.83057501034507	0.959512494404591	1	73.0003354569164
HNRNPC	3.28965702423917e-05	0.0001403590017512	10	37.6	16.5	3.28970572354881e-06	3	0.650861997659833	-0.603340015009618	-1	49.2066317303522
DDX47	0.0002418416812638	0.0003073729755418	25	39.7	29.0	2.41868004625289e-05	3	0.699042237925859	-0.691301730302086	-1	47.4078247249904
DAZAP1	0.0002613586184911	0.0003279468015462	10	40.1	32.0	2.61389362327578e-05	1	0.933607489451031	1.05667867813488	1	74.8170545526348
MSI2	3.53384884963212e-05	0.0001403590017512	30	44.2	33.0	3.53390504728451e-06	3	0.749122943313956	-0.670672816847495	-1	62.2162173683225
U2AF2	4.57262113039901e-05	0.0001403590017512	15	45.0	25.0	4.57271522301195e-06	6	0.684331623374772	-0.678349112081822	-1	53.6379544609719
RPS19	6.46038992856553e-05	0.0001403590017512	40	47.4	49.5	6.46057775112161e-06	5	0.777573845515969	-0.712796867024452	-1	65.9830694600729
EEF2	3.7689552648635e-05	0.0001403590017512	15	47.7	42.5	3.76901918899642e-06	8	0.79625686284364	0.971163442453474	1	68.4566698542272
FUS	4.27426157408467e-05	0.0001403590017512	40	48.5	43.0	4.27434378821425e-06	18	0.833421197189877	-0.77009830143568	-1	73.3771658573638
HSPD1	5.4687359344965e-05	0.0001403590017512	35	51.4	41.0	5.46887052098522e-06	28	0.790316444065582	-0.692423740531868	-1	67.6701682965221
TRIM56	3.50866461376508e-05	0.0001403590017512	75	52.6	60.0	3.50872001326933e-06	12	0.743619075477855	-0.700433470533024	-1	61.4875144286431
EFTUD2	3.11883999010622e-05	0.0001403590017512	5	52.8	45.0	3.11888376320383e-06	1	0.7435823906749	-0.68782297464315	-1	61.4826574217979
PCBP1	0.0002644036236439	0.0003296678092269	35	56.7	39.0	2.64435088087248e-05	11	0.77329195585593	0.846617167676653	1	55.5616157481849
YBX3	4.22760266580338e-05	0.0001403590017512	5	57.3	53.0	4.2276830947662e-06	4	0.923347062206694	0.996971712292595	1	85.2832006936544
PTBP1	3.53894441502975e-05	0.0001403590017512	25	57.3	41.5	3.53900077486705e-06	13	0.638612131526896	-0.616547004380108	-1	47.5847698456612
SSRP1	0.0002029369793135	0.0002719631627535	10	58.9	47.0	2.02955514233759e-05	8	0.851656470737301	0.994320764121516	1	67.3840212611948
FKBP4	0.0001122060676842	0.0001822159041502	10	59.4	40.5	1.12211733677607e-05	6	0.878982988080334	0.917760953129351	1	75.9857585078435
SUPV3L1	8.71389820998882e-05	0.0001630181416912	55	60.7	52.0	8.71423992294649e-06	4	0.675647747690711	-0.560288976446996	-1	50.9791330867502
SRSF1	3.52294213356366e-05	0.0001403590017512	30	61.0	29.0	3.52299798485556e-06	10	0.618049259407811	-0.529064913882414	-1	44.8622798063579
CIRBP	3.31373494783228e-05	0.0001403590017512	40	65.9	65.0	3.31378436264622e-06	12	0.753426246316763	-0.699922851557687	-1	62.7859675225517
ILF2	0.0002160176221463	0.0002856071916968	45	66.0	59.0	2.160386236455e-05	3	0.889344985532598	1.00163605525751	1	71.3521428682242
RBM39	3.87251832025896e-05	0.0001403590017512	75	66.2	60.5	3.87258580570574e-06	29	0.738947605978589	-0.655969690969072	-1	60.8690196431381
TROVE2	0.000303997408555	0.0003696758610206	15	66.3	27.0	3.04039003054496e-05	6	0.686039965782546	-0.560001680699891	-1	43.9487534467944
AUH	0.0002095788929259	0.0002789664993676	10	67.4	60.0	2.0959866104043e-05	9	0.66388360773938	-0.630136156785695	-1	44.1249688859764
SRSF5	0.0003892026406587	0.0004510171777045	55	67.4	54.5	3.89270822878901e-05	13	0.715449454577561	-0.628781464292912	-1	45.2939134958383
ATP5C1	8.55917053198289e-05	0.0001630181416912	55	67.5	52.0	8.55950021715551e-06	9	0.807086886378992	-0.642340166548892	-1	68.0878808201199
SF3B4	5.87668388662511e-05	0.0001403590017512	45	67.7	55.5	5.8768393017703e-06	16	0.6445511107416	-0.694818738851054	-1	48.3710808075746
PUM2	0.0001762587866001	0.0002462622763136	50	68.1	65.0	1.76272768382904e-05	23	0.767130808419437	-0.599588007266145	-1	58.1639208671768
UCHL5	0.0001429745222873	0.0002139769806842	10	68.6	40.0	1.42983721891748e-05	7	0.596343643582495	-0.54110270478965	-1	38.2356609236492
DDX24	7.29830526575915e-05	0.000151343803932	70	68.8	63.5	7.29854497050788e-06	14	0.690619218953443	-0.655314172857951	-1	53.6937801095683
DDX6	0.0008026994029287	0.0008547663912268	15	69.6	33.5	8.02989497265861e-05	14	0.772470721157567	-0.658006450577887	-1	44.4795524216947
EIF2S2	0.0003860094034583	0.0004499636241496	25	73.2	77.5	3.86076471321981e-05	8	0.751692383396878	-0.632124040052849	-1	49.4872580554451
ZC3H8	0.0001742093740509	0.0002452041813667	80	73.3	59.5	1.74223032565629e-05	4	0.750004786389529	-0.638980123150402	-1	56.0883546832263
SSB	3.94462622360589e-05	0.0001403590017512	40	73.3	67.0	3.94469624569743e-06	34	0.820846642621219	0.960069019775289	1	71.7123157642646
CKAP4	3.29093111496419e-05	0.0001403590017512	60	73.6	67.5	3.29097985200421e-06	7	0.705352320531339	-0.643776190781473	-1	56.4210597731354
G3BP2	4.86959799746063e-05	0.0001403590017512	80	74.8	67.5	4.86970470918268e-06	33	0.680762184388121	0.778385074683997	1	53.1653666808808
NSUN2	9.61864796658314e-05	0.000169545775865	60	75.0	59.0	9.61906432469626e-06	34	0.701821922218206	-0.571966181331056	-1	53.9748556652896
AKAP1	4.95141421403997e-05	0.0001403590017512	155	75.5	71.5	4.95152454176198e-06	14	0.814627066667944	1.02688278386626	1	70.8888542612498
KHSRP	0.000487192913361	0.000545323885978	65	75.7	62.5	4.87299756950409e-05	29	0.836160405419901	0.892478219935972	1	56.8034431194727
RBM15	0.0001552843969279	0.0002282912402597	30	76.0	72.0	1.5529524895501e-05	22	0.689773259748281	-0.58008437009058	-1	49.3510263351411
TARDBP	0.0001576244669867	0.000228361652452	55	76.2	82.5	1.57635648565717e-05	11	0.740191502820404	-0.696842449761704	-1	55.656901141992
EIF4G1	7.82771758133118e-05	0.0001585727178639	95	76.2	78.0	7.82799332423279e-06	3	0.786554858427455	0.815022753282938	1	65.7398908002263
