	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
IGF2BP3	5.04041118668755e-23	1.87851852186319e-22	35	68.1	68.0	5.04041118668756e-24	13	0.839532271327676	-0.943475914573406	-1	31.8079999425714
RBM17	5.05821801822807e-23	1.87851852186319e-22	105	68.7	75.0	5.05821801822807e-24	6	0.993073853348929	1.09136879143355	1	49.7427803986867
UCHL5	5.2735656290502205e-23	1.87851852186319e-22	50	69.0	49.5	5.27356562905024e-24	10	0.624343154859724	-0.668290234155889	-1	6.67233630284186
PTBP1	1.23709217787995e-22	1.94965727233879e-22	20	70.4	51.5	1.2370921778799501e-23	16	0.828536709065558	-0.891668015811348	-1	30.4517298336468
XRN2	1.09416393537096e-21	1.13447523825305e-21	10	70.7	56.5	1.09416393537097e-22	4	0.718537556195763	-0.706151325583953	-1	14.6579288904658
SRSF1	8.49912892307399e-23	1.87851852186319e-22	40	71.3	48.0	8.499128923074e-24	24	0.762762718189794	-0.787775548330595	-1	22.8407543071096
RBM39	1.9328355341890399e-22	2.52164635917378e-22	35	71.6	46.5	1.93283553418904e-23	9	0.81889255758196	-0.833131142808303	-1	28.8341700406504
AKAP1	6.01569231668964e-23	1.87851852186319e-22	160	72.4	55.5	6.01569231668968e-24	14	0.893410697360701	0.936119074753448	1	38.101394406161
PCBP2	7.92954435481616e-23	1.87851852186319e-22	80	73.3	76.0	7.92954435481619e-24	5	0.777118694244652	-0.803459413165611	-1	24.5176373728414
MAGOH	1.3419499595209e-22	2.06132411236805e-22	5	73.6	64.0	1.3419499595209e-23	2	1.21333004613759	-1.13660892125519	-1	75.2072268110962
BCLAF1	8.08548176592529e-23	1.87851852186319e-22	60	74.2	64.0	8.08548176592531e-24	29	0.816539046850844	-0.832184421591344	-1	29.1222230504648
EIF2S2	5.79231367724283e-23	1.87851852186319e-22	95	74.4	75.0	5.79231367724286e-24	36	0.836858712441907	-0.666535740722095	-1	31.4957086985869
MSI2	1.14238022388521e-22	1.93127969761003e-22	35	74.8	77.5	1.1423802238852101e-23	13	0.843942861802299	-0.848417568312666	-1	32.2686065910057
AKAP8	1.03408927104563e-22	1.8937661523040598e-22	60	75.8	73.5	1.03408927104564e-23	44	0.774730457487414	-0.739059318971472	-1	24.2240503260463
PRPF8	5.372608387507261e-23	1.87851852186319e-22	130	76.0	83.5	5.37260838750727e-24	18	0.86333733520818	-0.83924245332187	-1	34.5886056183781
FUS	9.18470946131629e-23	1.87851852186319e-22	110	76.2	95.0	9.18470946131632e-24	23	0.870095902189433	-0.868060444008204	-1	35.378055703567
ZC3H8	6.29797983241462e-23	1.87851852186319e-22	45	76.8	59.0	6.29797983241464e-24	18	0.696053094567515	-0.752563647376433	-1	15.0485820614826
XRCC6	7.997446232331491e-23	1.87851852186319e-22	25	77.2	56.5	7.9974462323315e-24	11	1.02829295817323	-0.976538519447659	-1	53.8566295890472
DDX24	7.073494790569441e-23	1.87851852186319e-22	40	78.6	70.5	7.07349479056946e-24	25	0.824129103444265	-0.834668049208244	-1	30.0087972075141
NOL12	5.356186471031851e-23	1.87851852186319e-22	35	79.0	61.5	5.35618647103186e-24	25	0.919477899656814	1.03073416318225	1	41.1462344041053
PKM	5.58727805383083e-23	1.87851852186319e-22	20	79.0	65.0	5.5872780538308404e-24	19	0.790391633217826	-0.782144285178773	-1	26.068013781353
NSUN2	4.59209951262722e-22	5.0257977999309e-22	50	79.3	51.5	4.59209951262724e-23	22	0.75454219061458	-0.779021891880302	-1	20.1467564894604
LARP4	5.310435358670481e-23	1.87851852186319e-22	70	81.3	82.5	5.31043535867049e-24	22	0.902560030248596	-0.91636307889637	-1	39.1701034457852
U2AF1	6.41847891407739e-23	1.87851852186319e-22	80	82.3	86.5	6.41847891407738e-24	20	0.867605485717177	-0.811456601339233	-1	35.0871568337871
DAZAP1	1.68567052124129e-22	2.27450063482558e-22	150	82.9	85.0	1.6856705212412902e-23	11	1.12750466973597	1.28020050184523	1	64.941722453623
METAP2	2.44281110396395e-22	3.00771117175562e-22	50	83.2	92.0	2.44281110396396e-23	6	0.814232858193107	-0.862879910044572	-1	27.9579732862847
TBRG4	5.81128075775335e-23	1.87851852186319e-22	120	83.3	87.5	5.81128075775338e-24	37	0.886563352932459	-0.908700800260348	-1	37.3015744654565
