	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
PES1	2.33647131015977e-06	4.42755800056389e-06	90	110.9	97.5	2.33647376675758e-07	88	1.2209971746226	-1.34937527309932	-1	23.7915199390439
BOP1	1.95124883240662e-06	4.42755800056389e-06	180	111.0	97.0	1.95125054572614e-07	41	1.05811338660072	1.24444988953534	1	17.9881164146798
DDX1	3.5704869409197e-06	5.25586463858568e-06	85	112.1	104.5	3.57049267770231e-07	71	0.858753982276188	0.863835638220165	1	10.4594740939617
TROVE2	1.6717866156627e-06	4.42755800056389e-06	25	112.4	150.5	1.67178787335575e-07	21	0.834022085604841	0.94759921167189	1	10.0039440070241
SF3B1	2.58461507647131e-06	4.42755800056389e-06	110	112.8	112.0	2.58461808258202e-07	26	0.999026409295534	-0.868868201852076	-1	15.8829003185829
SUCLG1	1.85623813164815e-06	4.42755800056389e-06	160	112.9	111.5	1.85623968217898e-07	53	0.972828348030128	-0.81110775608318	-1	14.9494868529117
BCCIP	8.08020347169599e-06	9.41893540783498e-06	50	113.2	143.5	8.080232852206e-07	37	0.747864241607063	0.805605108467215	1	5.30258844525542
UPF1	1.95125649262682e-06	4.42755800056389e-06	135	113.3	120.0	1.95125820595979e-07	64	1.00337438649339	0.974862933983864	1	16.0378148530517
FMR1	1.54133158487475e-05	1.68690179011293e-05	160	113.7	121.0	1.54134227564286e-06	26	0.909318293309666	-0.970471797171017	-1	9.17126819840296
MSI2	1.76117055550364e-06	4.42755800056389e-06	195	113.8	121.0	1.76117195127997e-07	24	0.850452332543604	-0.817614308406007	-1	10.5893389941408
CPSF7	5.37850073786549e-06	6.67617099952369e-06	110	114.0	110.0	5.37851375563142e-07	20	1.22200035834501	1.33003955100509	1	22.3767668060855
PABPC4	4.58605699387723e-06	6.06344448183768e-06	95	114.4	105.5	4.58606645826815e-07	93	0.983936942967491	-1.13110699733887	-1	14.4511162126066
CELF1	2.73065283311658e-06	4.48282173436638e-06	85	115.4	99.0	2.73065618853159e-07	51	0.871268804769866	-0.766685434946901	-1	11.2997752247236
RAVER1	1.31899207169367e-06	4.42755800056389e-06	60	116.9	139.0	1.31899285457736e-07	14	0.872874229161345	-0.825712168399744	-1	11.3882110945173
AARS	5.32322197550824e-06	6.67617099952369e-06	150	117.0	120.0	5.32323472706272e-07	79	1.00835372368731	-0.654826780030343	-1	15.0183237845218
