	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
SAFB2	5.70926801979872e-06	0.0001085552611739	40	67.4	47.5	5.70928268793535e-07	6	1.04288862356632	-0.958439827600247	-1	25.4936123282768
PUM2	4.25507754545618e-05	0.0001088636722668	75	68.0	67.5	4.25515902323405e-06	27	0.830979010474658	-0.865002939288715	-1	17.6054694683506
SERBP1	2.2132574761661e-05	0.0001085552611739	100	68.1	75.5	2.21327951976404e-06	3	0.880660341546155	-0.928456740126781	-1	19.4621627205228
RPS10	8.42896319077509e-05	0.0001357558173321	75	68.2	74.5	8.42928292123565e-06	18	0.886605811015768	-0.88212766918508	-1	18.8757742494419
ZRANB2	4.18791870518816e-05	0.0001085552611739	75	68.4	73.5	4.18799763126542e-06	5	0.953040209844736	-1.08505526438819	-1	22.1531579207586
AARS	3.17929349043722e-05	0.0001085552611739	75	70.1	54.5	3.17933897693506e-06	12	0.889317537692176	0.866153044720225	1	19.7840267114925
MTPAP	0.0003625573441305	0.0004254020507421	15	71.4	59.5	3.62616509238936e-05	10	0.951226214081705	-0.992300284639934	-1	16.7943152521554
PRPF6	0.0001092664284877	0.0001616480819596	125	71.7	48.0	1.09271801478103e-05	11	0.87304383352654	0.851644643442173	1	17.7631843660138
XRCC6	3.05273742484276e-07	3.00694636347012e-05	50	73.1	48.5	3.0527378442071e-08	2	1.0174490882248	0.993243225162062	1	29.86766416704
EIF2S1	0.0005110876370416	0.0005688376525265	10	73.4	27.5	5.11205219861396e-05	3	0.744100790810668	-0.782986143539511	-1	9.36523055910811
SUCLG1	0.0001160469572663	0.0001668704422004	60	73.8	59.0	1.16053017815082e-05	34	0.922573872193675	-1.04962225053097	-1	19.4048520083816
GEMIN5	0.0003505089175464	0.0004159654021484	20	74.2	53.0	3.50564215247881e-05	18	0.817361796036555	-0.864395049252709	-1	12.63672876809
CPSF6	0.000549626445198	0.0006082944365393	50	74.7	48.0	5.49762432690361e-05	14	0.947209540359813	-0.979545581865631	-1	15.28763658597
FTO	3.05264140220299e-05	0.0001085552611739	25	75.0	72.0	3.05268333680162e-06	13	0.841724757228608	-0.848888564788328	-1	18.0145851968296
UTP3	4.03345587664753e-05	0.0001085552611739	40	75.0	65.5	4.03352908796612e-06	12	1.0001286892051	-0.918171362587357	-1	23.9038501356495
BCCIP	7.76305159423642e-05	0.000132984449049	35	75.3	80.5	7.76332279993586e-06	26	1.11277043025033	-1.07360341672361	-1	27.1718105626249
PUF60	2.94093705052726e-05	0.0001085552611739	140	75.9	76.0	2.94097597225052e-06	5	0.951304937780317	1.01058813153765	1	22.0886426224275
FIP1L1	8.07353454104999e-05	0.0001357558173321	115	78.1	85.0	8.0738278748689e-06	30	0.758203617514496	-0.730574040641869	-1	14.2188734922047
NUFIP2	2.90156881718676e-05	0.0001085552611739	100	78.1	82.5	2.90160670384019e-06	1	0.776776588752943	0.781899278526108	1	15.5998915293703
RPS19	4.49278619169248e-06	0.0001085552611739	155	78.4	53.5	4.49279527502581e-07	4	1.01288345295227	1.06573130294746	1	24.3780566910164
PRPF8	2.7492937809759e-05	0.0001085552611739	30	78.7	62.5	2.74932779534149e-06	17	0.863690014074636	-0.730628692523204	-1	18.8312266488529
NELFE	2.94372541560242e-05	0.0001085552611739	40	78.8	56.5	2.94376441116639e-06	1	0.898155822877588	0.987105335735186	1	20.1126233720189
SFPQ	0.0003020608880159	0.0003715781350721	25	78.9	69.0	3.02101954223364e-05	23	1.07768009100977	-1.17308024234897	-1	21.3860571627303
SNRNP200	3.42721209866813e-05	0.0001085552611739	95	81.0	86.0	3.42726495583789e-06	16	0.751565196612887	-0.75121213641939	-1	14.6625627273851
RRP9	3.51945012296722e-05	0.0001085552611739	55	82.9	75.0	3.51950586359093e-06	52	0.857555786631811	-0.907180188905374	-1	18.6031635562579
NOL12	2.48988001896355e-06	0.0001085552611739	10	82.9	70.5	2.48988280874407e-07	3	1.07852979747579	-1.00117616182046	-1	26.8187076921633
UPF2	0.0001497205815245	0.0002048260733356	55	82.9	67.0	1.49730669794757e-05	17	0.946091041737307	-1.04215288578133	-1	19.4482859446745
PCBP2	3.31848774835626e-05	0.0001085552611739	10	83.0	90.5	3.31853730502201e-06	6	0.811166735335557	-0.778601482699453	-1	16.8784752234917
RPS3A	5.81270984156691e-05	0.0001205372461882	95	83.3	87.5	5.81286189134513e-06	11	1.0095465972489	0.946510090203984	1	23.8234913904086
FUS	3.85975640129374e-05	0.0001085552611739	145	84.4	60.0	3.85982344267023e-06	42	0.813670090778932	-0.869921848689365	-1	16.9715469247943
HNRNPAB	4.11174402898105e-05	0.0001085552611739	120	84.6	71.5	4.11182010993761e-06	15	0.988729546963595	-0.9418949707084	-1	23.4800439340112
XRN2	0.0001904205917545	0.0002500857105043	150	85.1	87.5	1.90436910723456e-05	12	0.877828083476473	-0.851805636032939	-1	16.3730853001285
AATF	4.11126050123328e-05	0.0001085552611739	75	85.3	71.0	4.11133656429691e-06	22	0.909622139865058	-0.865478106905519	-1	20.5389270487593
TRIM56	5.01651808738759e-05	0.0001123015980926	90	85.7	86.0	5.01663133552738e-06	57	0.772617795859379	-0.694160996689915	-1	15.338504991473
ABCF1	6.11786017954992e-05	0.0001217392379162	150	86.3	81.0	6.11802861303546e-06	5	1.06667037165828	1.24075155123205	1	25.8798157421219
APOBEC3C	1.92043195833987e-05	0.0001085552611739	10	86.5	77.0	1.92044855480681e-06	3	1.11144595021118	1.0678349963424	1	28.0424900933108
CNOT7	0.0003627794138308	0.0004254020507421	60	87.5	79.0	3.62838651448147e-05	26	0.969299916937789	-1.02411998914261	-1	17.3657346129224
SF1	4.4744242722576e-05	0.0001096195620673	135	88.2	72.5	4.47451436693726e-06	4	1.31684293275364	1.17763042913152	1	35.6265712452391
DDX3X	2.36373427822913e-05	0.0001085552611739	90	89.3	94.5	2.36375942118435e-06	10	0.908448329303795	0.941533549292427	1	20.495286204135
DNAJC21	3.28531267036676e-05	0.0001085552611739	165	90.0	92.0	3.28536124113441e-06	16	1.1928046655183	1.16462248942489	1	31.0673078711722
