	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
LARP4	4.68329506726126e-43	1.1087359200975299e-42	110	114.3	111.5	4.68329506726122e-44	25	0.697015119389756	-0.795321544073127	-1	41.4288417059647
EIF2S1	1.2041953121286099e-42	1.3872893361949398e-42	195	115.3	106.5	1.2041953121285999e-43	21	0.521658029639861	-0.552623290971067	-1	9.69848273783345
EIF4B	4.9603196463703595e-43	1.1087359200975299e-42	175	116.2	145.5	4.960319646370351e-44	14	0.645927633296244	-0.659402035476961	-1	32.2480726512468
HNRNPU	1.22031934376192e-42	1.3976913414017298e-42	90	116.5	114.0	1.2203193437619198e-43	42	0.605836610597163	-0.610978971285752	-1	24.7824313363488
FUS	5.6031204941517395e-43	1.1087359200975299e-42	135	117.0	130.5	5.60312049415173e-44	78	0.669474716950067	-0.780828700301561	-1	36.4796438924343
ADAR	4.83867239314972e-43	1.1087359200975299e-42	190	117.4	131.5	4.83867239314972e-44	16	0.994853663154102	-1.01507052223493	-1	94.952455705856
DHX30	5.24905520693682e-43	1.1087359200975299e-42	105	118.6	111.5	5.2490552069368e-44	67	0.612502208293921	-0.560379533727934	-1	26.2412962179649
STAU1	6.789624879314299e-43	1.1087359200975299e-42	120	119.0	127.0	6.78962487931429e-44	38	0.681249075193187	-0.694521610712471	-1	38.5955762285789
PARN	4.73721142710724e-43	1.1087359200975299e-42	140	119.4	147.5	4.73721142710719e-44	27	0.991631687027364	-0.862584697484298	-1	94.3734446606611
EWSR1	4.26402487104534e-43	1.1087359200975299e-42	170	119.6	131.0	4.26402487104535e-44	10	0.640871601828372	-0.642031532970024	-1	31.3394693749972
KHSRP	5.61336435069591e-43	1.1087359200975299e-42	85	119.8	100.0	5.61336435069591e-44	44	0.705813675905639	-0.794661452936037	-1	43.0100022124604
DDX1	6.77939461358096e-43	1.1087359200975299e-42	75	119.9	109.0	6.779394613580931e-44	64	0.714584291153422	-0.760266405389632	-1	44.5861414828541
AKAP8L	9.183520997403229e-43	1.1655178978224498e-42	115	120.1	119.5	9.18352099740323e-44	53	0.584363721157202	-0.612645694220937	-1	21.1303261892776
DDX28	4.7447889778436395e-43	1.1087359200975299e-42	125	120.3	129.5	4.74478897784363e-44	31	0.705671103925468	-0.831544448465433	-1	42.9843810569932
CPSF7	4.5032052202580395e-43	1.1087359200975299e-42	170	121.7	166.0	4.503205220258031e-44	2	1.02294132633314	-1.07259255341665	-1	100.0
FASTKD2	4.063695080199e-43	1.1087359200975299e-42	130	123.0	136.0	4.06369508019899e-44	1	0.677103419125707	0.443699258083484	1	37.8505736096175
UCHL5	8.304760971132769e-43	1.1603998226888599e-42	130	123.1	128.5	8.30476097113275e-44	37	0.468886267926496	-0.472317364690454	-1	0.392809112147724
RCC2	6.4925524176302895e-43	1.1087359200975299e-42	170	123.7	115.0	6.492552417630291e-44	63	0.54953129949075	-0.530877731475607	-1	14.9249951999543
SRP68	8.70635506483651e-43	1.1603998226888599e-42	115	123.9	112.5	8.70635506483653e-44	89	0.634592145391298	-0.680340787485354	-1	30.1572445199017
PPIL4	6.1125172011990996e-43	1.1087359200975299e-42	185	123.9	127.5	6.1125172011991e-44	37	0.712406609200388	-0.770874412011993	-1	44.1947972102305
PHF6	6.14824425705828e-42	6.243320199177729e-42	195	126.0	129.0	6.14824425705822e-43	50	0.703979302184488	-0.680756668229593	-1	40.4170625887889
CIRBP	4.27447428219509e-43	1.1087359200975299e-42	160	126.2	129.5	4.27447428219509e-44	12	0.559515956280933	-0.587194531439237	-1	16.7193060007148
DDX19B	1.27469753762045e-42	1.45153419023831e-42	175	126.7	111.0	1.27469753762044e-43	85	0.614495015293992	-0.662710475669784	-1	26.291467276633
GEMIN5	4.7848202403342395e-43	1.1087359200975299e-42	180	127.4	160.5	4.78482024033422e-44	34	0.559255145956393	-0.689279153253307	-1	16.6724366097978
NUFIP2	5.03315333374344e-43	1.1087359200975299e-42	175	127.4	151.5	5.033153333743399e-44	12	0.921671441653272	-0.887572958798707	-1	81.8011122774376
TIA1	3.7232061304917894e-42	3.88080215717927e-42	190	128.3	114.5	3.7232061304917496e-43	58	0.504868087481805	-0.549959323197257	-1	5.72210774201651
TUFM	4.77067129978022e-43	1.1087359200975299e-42	150	128.6	140.5	4.77067129978022e-44	33	0.803213625909038	-0.868041075579738	-1	60.5134363271376
PPIG	1.4326146893443499e-42	1.5766765016806597e-42	190	128.9	118.0	1.4326146893443399e-43	64	0.577572266917342	-0.594794919040031	-1	19.5858500221063
DDX55	5.21900417637268e-43	1.1087359200975299e-42	180	129.4	154.0	5.219004176372661e-44	36	0.716702046915425	0.572677185341069	1	44.9667166109719
LIN28B	5.30343174281809e-43	1.1087359200975299e-42	120	129.5	129.5	5.303431742818051e-44	72	0.634822916738253	-0.676456105524318	-1	30.2524794848419
GTF2F1	4.62289417968161e-43	1.1087359200975299e-42	185	129.6	161.0	4.62289417968161e-44	22	0.863616126440009	0.894400197323863	1	71.3681768929049
IGF2BP3	6.159268471337569e-43	1.1087359200975299e-42	140	129.6	130.5	6.159268471337531e-44	84	0.666652762185721	-0.731469546582282	-1	35.9725194094073
