ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
TRIM56	166	143.5	147	140	1	1	175	178	168	96	96	185
PHF6	166	143.5	147	140	1	1	173	166	168	96	96	148
CPSF6	166	143.5	147	140	1	1	175	178	168	96	96	185
GEMIN5	166	143.5	147	140	1	1	162	162	156	96	96	178
PPIG	166	143.5	147	140	1	1	175	178	168	96	96	173
EIF2S1	166	143.5	147	140	1	1	168	165	162	96	96	156
LIN28B	166	143.5	147	140	1	1	175	178	168	96	96	185
BCCIP	166	143.5	147	140	1	1	157	159	162	96	96	152
FASTKD2	166	143.5	147	140	1	1	175	178	168	96	96	185
TIA1	166	143.5	147	140	1	1	173	172	168	96	96	178
NSUN2	166	143.5	147	140	1	1	162	169	154	96	96	168
SRSF5	166	143.5	147	140	1	1	175	178	168	96	96	183
TIAL1	166	143.5	147	140	1	1	170	174	168	96	96	168
NUSAP1	166	143.5	147	140	1	1	175	174	165	96	96	161
IGF2BP2	166	143.5	147	140	1	1	175	178	168	96	96	171
HLTF	166	143.5	147	140	1	1	175	178	168	96	96	176
SMNDC1	189	157.5	147	140	192	1	175	178	168	96	96	175
G3BP1	189	157.5	147	140	189	1	175	178	168	96	96	185
PES1	189	157.5	147	140	195	1	175	178	168	96	96	185
AATF	189	157.5	147	140	189	1	175	178	168	96	96	173
DDX24	193	171.5	147	140	189	193	175	178	168	96	96	185
SUCLG1	193	171.5	147	140	193	193	175	178	168	96	96	177
RECQL	193	171.5	147	140	194	193	175	178	168	96	96	185
SSB	193	171.5	147	140	196	196	175	178	168	96	96	183
TRA2A	193	171.5	147	140	197	197	175	178	168	96	96	185
