ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
IGF2BP2	103	98	1	93	1	1	107	103	81	105	105	126
PABPC4	105	99	134	90	1	1	113	113	141	100	97	98
RPS10	106	99.5	129	147	1	1	100	100	125	98	99	69
STIP1	106	99.5	1	1	1	1	120	118	81	128	129	137
SF3A3	108	101	126	143	1	1	105	107	123	90	90	97
HNRNPU	109	101.5	147	179	1	1	109	109	142	94	93	75
TARDBP	110	102	85	1	1	1	119	120	81	141	138	141
EIF4G1	111	103	103	120	1	1	103	104	91	120	120	100
KHDRBS1	112	104.5	93	145	1	1	106	106	105	104	103	115
UCHL5	113	105	148	164	1	1	110	110	161	59	55	100
CCAR1	114	105.5	122	146	1	1	108	108	158	43	44	103
AKAP8	115	108	93	1	1	1	123	123	91	146	147	139
FUBP3	116	109.5	139	168	1	1	114	114	129	73	75	105
ILF2	117	111.5	113	71	1	1	112	111	100	125	124	118
RBM22	118	112	142	148	1	1	115	116	133	109	108	82
KHSRP	119	112.5	1	71	1	1	117	119	108	140	140	133
FIP1L1	120	113.5	155	151	1	1	131	129	162	97	98	92
EIF2S1	121	114.5	117	105	1	1	111	112	130	119	119	120
GEMIN5	122	115	111	111	1	1	125	124	121	115	115	127
RBM25	123	116	145	166	1	1	120	122	150	78	76	112
EFTUD2	124	117	157	185	1	1	128	128	166	72	71	106
HNRNPA0	124	117	135	149	1	1	118	117	128	113	112	117
UTP18	126	119	114	99	1	1	126	125	116	123	123	122
PUF60	127	120.5	144	154	1	1	124	126	140	117	116	113
DDX19B	128	121	102	82	1	1	130	130	146	121	121	132
EEF2	129	121.5	119	141	1	1	122	121	81	139	136	130
AATF	129	121.5	149	129	1	1	132	133	172	107	107	114
FKBP4	131	122	143	132	1	1	127	127	114	122	122	119
G3BP2	132	123	107	93	1	1	129	131	117	147	146	140
SUGP2	133	124	1	1	1	1	137	137	111	156	156	167
ZC3H8	134	125.5	128	121	1	1	133	135	137	126	125	123
KRR1	135	126	103	1	1	1	149	149	95	156	156	184
SUCLG1	136	126.5	138	97	1	1	139	140	119	132	132	121
PCBP1	136	126.5	181	182	1	1	145	146	180	87	87	108
RBFOX2	138	127.5	169	162	1	1	144	144	178	110	111	95
EXOSC9	139	128.5	118	108	1	1	142	142	163	129	128	142
TBRG4	140	130	115	107	1	1	146	145	81	156	156	164
FASTKD2	140	130	121	140	1	1	136	136	125	130	130	131
HLTF	142	131	97	87	1	1	138	138	124	155	155	155
MAGOH	143	132.5	160	162	1	1	133	132	113	145	144	128
SF3B1	144	133	115	1	1	1	141	139	127	156	156	158
FTO	145	134.5	108	93	1	1	135	134	139	142	142	136
G3BP1	146	136	137	139	1	1	143	143	144	134	135	134
MATR3	147	137	131	104	1	1	140	141	134	154	154	153
SSRP1	148	138	120	106	1	1	165	166	102	156	156	180
TRA2A	149	141	153	122	1	1	152	152	175	135	134	147
SND1	150	145	95	1	1	1	156	155	135	156	156	168
GPKOW	151	145.5	161	128	1	1	151	151	160	143	145	146
RBM39	152	146	163	173	1	1	148	148	152	131	131	144
NSUN2	152	146	136	112	1	1	171	171	118	156	156	185
ASCC1	154	147.5	140	99	1	1	155	156	131	156	156	163
FUS	154	147.5	146	155	1	1	147	147	151	149	149	148
PCBP2	154	147.5	173	184	1	1	157	157	170	138	137	135
QKI	157	148.5	154	133	1	1	154	154	179	148	148	149
HNRNPM	157	148.5	141	123	1	1	159	160	115	156	156	178
PUS1	159	151	150	152	1	1	150	150	155	156	156	173
ATP5C1	160	151.5	133	109	1	1	164	164	147	156	156	170
SLBP	161	152	152	131	1	1	153	153	167	153	152	151
HNRNPA2B1	161	152	176	187	1	1	160	159	165	144	143	145
KIF1C	163	153.5	151	119	1	1	163	162	132	156	156	162
U2AF1	164	154	164	188	1	1	158	158	154	152	153	154
EIF4B	164	154	178	191	1	1	166	165	191	124	126	143
ILF3	166	155	166	158	1	1	162	163	174	151	151	152
NOL12	167	156	177	165	1	1	169	168	149	156	156	156
HNRNPK	167	156	156	114	1	1	185	184	187	156	156	195
SFPQ	167	156	158	137	1	1	161	161	143	156	156	169
DAZAP1	167	156	159	134	1	1	170	169	156	156	156	166
SAFB2	171	157.5	168	167	1	1	172	172	153	156	156	159
SLTM	172	158	167	156	1	1	168	170	184	156	156	160
SMNDC1	172	158	165	159	1	1	167	167	190	156	156	157
YBX3	174	158.5	188	177	1	1	176	175	145	156	156	161
AKAP1	175	159	162	169	1	1	180	180	148	156	156	192
BCCIP	176	161.5	191	186	1	1	173	173	185	150	150	150
BOP1	177	163	170	150	1	1	183	183	182	156	156	182
SUPT6H	178	163.5	175	127	1	1	181	182	186	156	156	171
DKC1	179	165.5	182	178	1	1	182	181	157	156	156	174
CPSF6	180	166.5	172	161	1	1	174	176	188	156	156	175
ADAR	181	169	174	190	1	1	179	179	164	156	156	183
UPF2	182	170	183	157	1	1	189	189	189	156	156	191
DDX27	183	171	189	183	1	1	188	188	159	156	156	190
SNRNP200	183	171	171	175	1	1	175	174	171	156	156	176
CELF1	185	171.5	179	174	1	1	186	186	169	156	156	186
MTPAP	185	171.5	185	181	1	1	178	178	181	156	156	165
HNRNPA1	187	172	187	176	1	1	184	185	168	156	156	179
CPSF7	187	172	180	171	1	1	187	187	173	156	156	189
PUM1	189	173	184	170	1	1	195	195	176	156	156	196
EWSR1	190	174.5	186	189	1	1	177	177	183	156	156	172
RBM17	191	178.5	190	180	1	1	192	193	177	156	156	194
SERBP1	192	184.5	194	194	1	1	193	192	196	156	156	177
LIN28B	193	187.5	194	194	1	1	194	194	197	156	156	181
ZRANB2	194	189	192	192	1	1	191	190	193	156	156	188
RRP9	195	190.5	194	194	1	1	196	196	194	156	156	187
SART3	195	190.5	193	194	1	1	190	191	192	156	156	193
SSB	197	193.5	194	193	1	1	197	197	195	156	156	197
