NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
SUPT6H	192	Down	0.000360222198227588	0.00131414394538583	0.904511988185761	-0.962881095180311	-1	27.8636322050169
RPS3A	183	Down	0.000473932896393086	0.00167301838281529	0.966460811019684	-1.03450194382596	-1	28.6919276234901
U2AF2	189	Down	0.000475578829632774	0.00167301838281529	0.592218754123615	-0.619320686114474	-1	17.5369904463534
HNRNPAB	185	Down	0.000582067250458071	0.00201170611123228	0.9184976222472	-0.94752999737173	-1	26.4728389594804
TIA1	196	Down	0.000680063590028966	0.00230987115923632	0.504868087481805	-0.549959323197257	-1	14.174087398457
AKAP8	192	Down	0.000761557697731924	0.00254282824496931	0.732426234853183	-0.759101085626423	-1	20.2865216539716
PUF60	178	Down	0.00086653247619532	0.00284511496350797	0.854098868132372	-0.909028125929088	-1	23.228405438306
RBM22	194	Down	0.0010184598611308	0.00328912446955355	0.720564858123126	-0.709122380178885	-1	19.0915762744611
EIF2S1	198	Down	0.00132544241199442	0.00421148637359516	0.521658029639861	-0.552623290971067	-1	13.1884940244142
RPS10	187	Down	0.0013484076644439	0.00421644936341983	0.809995946583709	-0.879912823319645	-1	20.5374019856539
PHF6	190	Down	0.00182858369182692	0.00562860917640473	0.703979302184488	-0.680756668229593	-1	16.8861707239118
HNRNPA0	189	Down	0.00198724289432491	0.00602287461818473	0.86920597332702	-0.800064486982121	-1	20.6020760010553
SRSF1	194	Down	0.00207602303086253	0.00619661419818058	0.711323490946256	-0.781027220915817	-1	16.7446928489413
DDX27	188	Down	0.00257592861694903	0.00757399906774565	0.894811185462587	-0.995715277159253	-1	20.2563510669171
MSI2	193	Down	0.00265193927594772	0.00768282407884853	0.62617414396771	-0.581192942274324	-1	14.0988511434111
TARDBP	193	Down	0.00304930655464615	0.00870599117775784	0.613021146839838	-0.620174860695241	-1	13.4429506851163
NOL12	196	Down	0.00345133067116879	0.00971303060314645	0.854282911895787	-0.907490964073837	-1	18.3429320543037
PPIG	199	Down	0.00429680486192323	0.0117586282182454	0.577572266917342	-0.594794919040031	-1	11.8495372757999
MAGOH	183	Down	0.00429756970413032	0.0117586282182454	0.786446504373104	-0.868160929294997	-1	16.1764575533405
DDX6	187	Down	0.00443435719525671	0.0119666899652818	0.628151711734792	-0.614850379982852	-1	12.8459450283833
SLBP	196	Down	0.00450443284482122	0.0119915306814835	0.636719139199924	-0.727593227943143	-1	13.0165665313534
GRWD1	194	Down	0.00550887398256785	0.0144699756608782	0.845373211579861	-0.883480807134603	-1	16.5793557651956
RBM15	194	Down	0.00592207017149435	0.0153506292603209	0.610592294403162	-0.69336577026553	-1	11.7746999134827
UTP18	191	Down	0.00600884727672522	0.0153732845911022	0.706678635313314	-0.719939402854067	-1	13.6408922235328
BOP1	190	Down	0.00609757662095107	0.0154002896708636	0.826488086718341	-0.951376495728249	-1	15.9663075554792
BCCIP	181	Down	0.00671305886289474	0.0167401594429147	0.786591480088976	-0.852702731358657	-1	14.8840727968905
NPM1	188	Down	0.00724608151636535	0.0176231859101725	0.960001998624526	-0.866170134926378	-1	17.9606887350502
DKC1	190	Down	0.00721430928922818	0.0176231859101725	0.869106289360692	-1.06152835695551	-1	16.2492197272215
DDX3X	188	Down	0.00821865969217065	0.0197448287726539	0.690643583741759	-0.698930501850509	-1	12.5229209437405
SRSF5	194	Down	0.00859746370189993	0.0204060283045095	0.529455199639613	-0.555820659950847	-1	9.49203610597264
TBRG4	190	Down	0.00888635746862052	0.0205033402075732	0.661143420280856	-0.688809381074219	-1	11.8669024588591
CNOT7	192	Down	0.0089506967403619	0.0205033402075732	0.700616701185604	-0.67836974662956	-1	12.5822840480075
ZC3H8	194	Down	0.00875265432396389	0.0205033402075732	0.540312733313515	-0.592214262074605	-1	9.67706551398538
EFTUD2	196	Down	0.0102561563429481	0.0229598045404633	0.590241125816876	-0.644064192962485	-1	10.2705309590842
PUS1	193	Down	0.0102549378641869	0.0229598045404633	0.639431365194791	-0.682269897500237	-1	11.1360632805134
QKI	196	Down	0.011565460507501	0.0255999519098618	0.596112407594794	-0.61915337475483	-1	10.0713298570488
HNRNPU	195	Down	0.0138976397453579	0.0304203892203945	0.605836610597163	-0.610978971285752	-1	9.75019121521937
AKAP8L	194	Down	0.0144036499382085	0.0311815278882097	0.584363721157202	-0.612645694220937	-1	9.33320166142995
DNAJC21	190	Down	0.0154050124745496	0.0329868201900682	0.798561031024547	-0.868614769869775	-1	12.586918594125
ASCC1	191	Down	0.0155833113689892	0.0330098101042029	0.656950916634291	-0.717087543366984	-1	10.3323112798363
SAFB2	187	Down	0.0161877287057071	0.0335682374213084	0.869511276349218	-0.902692390289901	-1	13.6446335088913
RCC2	190	Down	0.0161014937155262	0.0335682374213084	0.54953129949075	-0.530877731475607	-1	8.58104609195888
ILF3	194	Down	0.0178128046277305	0.0365533594964885	0.660451796265096	-0.708027129741114	-1	10.0740014039936
AARS	190	Down	0.0181286861228497	0.0368180532598081	0.818770371885328	-0.880006599934809	-1	12.4889190508811
YBX3	188	Down	0.0199264492294621	0.0400562295735105	0.903639792672731	-0.978222463413589	-1	13.4402446714928
SSRP1	196	Down	0.0219591362226927	0.0436964629885906	0.757304297890439	-0.854132187721847	-1	10.9379691222775
SRFBP1	195	Down	0.0234166793806587	0.0461308583798976	0.588373433069939	-0.64424412264948	-1	8.32364931372647
HNRNPA2B1	193	Down	0.0240802642809091	0.046968436270684	0.71897822456934	-0.782826820272074	-1	10.1365375417074
