p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
UPF1	0.999861583596045	-3.9359921793686	0.999999999995501	1	186	0.618188086704021	-0.635781822154648	-1	0
ASCC1	0.999788207937248	-3.71314448194135	0.99999999978815	1	191	0.614804974091826	-0.560622705598072	-1	0
QKI	0.999990900223106	-4.75276508632967	0.999999999999999	1	196	0.506712230723259	0.520393282983779	1	0
BUD13	0.999933472479112	-3.99615999074338	0.999999999996951	1	191	0.732207923457019	-0.660752309330618	-1	0
AGO1	0.928551275522059	-1.59328177856415	0.996453444611953	1	182	0.892023519128829	0.838406463411976	1	0
ILF3	0.978664696139462	-2.64217609688302	0.999999759937337	1	194	0.733270370350078	-0.661699134879705	-1	0
DDX19B	0.999332290814937	-3.33494164425425	0.999999997193225	1	193	0.7586517332116	-0.702035900783042	-1	0
CSTF2T	0.999636820564352	-3.69393805089898	0.999999999906135	1	195	0.638653791035224	0.720029896582347	1	0
TRIM56	0.999916736235797	-3.81897158552216	0.999999999981888	1	195	0.890773331502122	0.907415729131355	1	0
IGF2BP3	0.999977732637564	-4.36140087628791	0.999999999999932	1	191	0.702721249437198	-0.566001968602435	-1	0
YBX3	0.838023722566102	-1.03804316552602	0.982097174513108	1	188	0.856135219980828	-0.636592230095051	-1	0
PARN	0.98130696832766	-2.32836599887295	0.999990905119594	1	187	0.716800302164432	0.623541023009111	1	0
PA2G4	0.946899672484079	-1.85394359156055	0.999747526209079	1	193	0.738063089166238	0.882495817652583	1	0
RECQL	0.999981866598492	-4.64399391695469	1	1	195	0.594245779421125	0.64339604718622	1	0
SRP68	0.999999405859577	-5.14611143964319	1	1	192	0.814982191151838	0.889105134664725	1	0
PHF6	0.987950024617232	-2.51053560484237	0.999997063004774	1	190	0.687162968344926	0.711791407964619	1	0
FUS	0.998791708151506	-3.1997832964944	0.999999983343114	1	189	0.951455814256516	-0.791312710007099	-1	0
RBFOX2	0.913330747404766	-1.39226587345739	0.994351376100597	1	183	0.815866624179193	0.894192386567988	1	0
AKAP1	0.981317123971526	-2.20982571810827	0.999963853911132	1	195	0.727881594931814	0.77327202484209	1	0
U2AF1	0.990238860175802	-2.69579924650275	0.999999490727463	1	182	0.734142740236558	0.776280558900252	1	0
DHX30	0.999920278005553	-4.00213951789566	0.999999999998472	1	197	0.677890847953985	-0.631782070209371	-1	0
NPM1	0.77424524561356	-1.01329030859805	0.943375941463155	1	188	0.794034516113299	-0.76942008588289	-1	0
NCBP2	0.667699607531914	-0.80442990669371	0.952502873677495	1	188	0.784348602577901	-0.793317106083223	-1	0
UBE2L3	0.967574540250928	-1.91080781497122	0.999827940232706	1	194	0.841785471845386	-1.08115605170389	-1	0
FUBP3	0.971647801357485	-2.66820766110142	0.999999756576494	1	187	0.707602113640744	-0.718361896040242	-1	0
FKBP4	0.506776329859363	-0.142801785856118	0.774519669925935	1	197	0.917257454816895	-0.907033790482904	-1	0
CPSF6	0.999999975839402	-5.70939331234176	1	1	196	0.632310600883274	0.68234030151674	1	0
RBM15	0.999980938228353	-4.47830258044352	0.999999999999995	1	194	0.594024568675389	0.634374044131095	1	0
CCAR1	0.999997785083357	-4.82931873649842	1	1	190	0.558383480513397	0.480789027097897	1	0
AUH	0.995546452747018	-2.9281806248741	0.999999939253382	1	191	0.653277565939833	0.615050654778165	1	0
GEMIN5	0.999953881881921	-4.17551580528696	0.999999999999858	1	193	0.660550550586126	0.641193594816637	1	0
NONO	0.999986284257279	-4.53843167147794	0.999999999999999	1	196	0.586516257376395	-0.668542142944933	-1	0
SMNDC1	0.999999999868176	-6.59184570898877	1	1	196	0.586409084847591	-0.459334449808077	-1	0
BCLAF1	0.999998328899301	-4.91002207427587	1	1	192	0.621971547068315	-0.611467345153656	-1	0
ZC3H8	0.999999986817112	-5.85884875906888	1	1	194	0.664381833757142	-0.551637697124259	-1	0
XPO5	0.974478049486424	-2.47476487099449	0.999999138878865	1	191	0.729619636921497	-0.658964509032989	-1	0
SF3A3	0.999988699466078	-4.44206537280066	0.999999999999975	1	197	0.765425972371011	-0.682791820973022	-1	0
FAM120A	0.447736652242649	-0.608388427692494	0.965214312680067	1	197	0.821334264186462	-0.838013620095552	-1	0
DKC1	0.970808543935517	-1.9479238731243	0.999736297161991	1	190	0.686955675477282	-0.608745157660694	-1	0
