p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.909637354495728	-1.7292526792784	0.997236035358583	1	188	0.900138736181632	-0.877744063980779	-1	0
AKAP8	0.830413048852138	-1.66228920648397	0.99000611377405	1	192	0.700081689092245	-0.591427083641299	-1	0
RPS10	0.992870179518993	-2.57518461150526	0.999992781557277	1	187	0.749684991254317	-0.592801561357596	-1	0
KHDRBS1	0.999999537681584	-5.42228478282558	1	1	192	0.639683227226769	-0.535855170267415	-1	0
HNRNPUL1	0.536223722327334	-0.305734601326483	0.632503916015457	1	184	1.05834112634005	-1.11245954158316	-1	0
EIF4G2	0.954213519419258	-1.93131966713995	0.999098636925511	1	182	0.86393472837134	1.14621614645076	1	0
SUB1	0.99840385350036	-3.75591787045584	0.99999999975285	1	195	0.66424815380766	-0.579974794574804	-1	0
PABPC4	0.999920305070381	-4.36044841699521	0.999999999999501	1	195	0.694677532696877	-0.632675367100225	-1	0
HNRNPU	0.99999746539146	-5.01133208720029	1	1	195	0.636806014953571	-0.571456403578331	-1	0
SF3B1	0.653578191701017	-0.793681602764574	0.915905248339569	1	185	0.825855664458369	-0.737056760809634	-1	0
HNRNPA1	0.551417261526665	-0.189415365766919	0.611849933103726	1	183	0.832991326330935	0.903041507652001	1	0
CIRBP	0.998965350455916	-3.63507602045375	0.999999998158348	1	197	0.753426246316763	-0.699922851557687	-1	0
TROVE2	0.999970949117948	-4.72223985874581	0.999999999999994	1	195	0.686039965782546	-0.560001680699891	-1	0
SRSF1	0.999658944613562	-3.79657601366065	0.999999999828087	1	194	0.618049259407811	-0.529064913882414	-1	0
DDX24	0.999606842178101	-3.93909044409628	0.999999999915463	1	197	0.690619218953443	-0.655314172857951	-1	0
EIF2S2	0.997769345247513	-3.03633164429908	0.999999854890932	1	185	0.751692383396878	-0.632124040052849	-1	0
ESF1	0.977280573877503	-2.41252628826945	0.999955934215215	1	187	0.713732565436341	0.759816674177675	1	0
TBRG4	0.991556138154559	-2.55962400171145	0.999995228132138	1	190	0.748301104102873	-0.655779332598844	-1	0
DNAJC21	0.995042550266626	-2.58162920165657	0.999996863941904	1	190	0.755282793622652	-0.711316217143245	-1	0
SF3B4	0.999932969239248	-4.18452199918487	0.999999999998845	1	189	0.6445511107416	-0.694818738851054	-1	0
STIP1	0.495651440810764	-0.137639781998574	0.523131821314882	1	190	0.990824320422583	-1.06901388699465	-1	0
RPS19	0.886969867520798	-1.4430098977801	0.991445862546338	1	184	0.777573845515969	-0.712796867024452	-1	0
SUCLG1	0.99545749230764	-3.04995307608092	0.99999958509392	1	192	0.814656540465098	0.962750989433544	1	0
SLBP	0.99981929959158	-4.03596272714802	0.999999999983562	1	196	0.668271968682241	-0.56370092412171	-1	0
CNOT7	0.999842452803606	-3.95108531556625	0.999999999973042	1	192	0.713368384804114	-0.586524718005674	-1	0
EFTUD2	0.999997115083684	-5.02334174637923	1	1	196	0.7435823906749	-0.68782297464315	-1	0
PUM2	0.958815420337324	-2.20534854726121	0.999730539216169	1	187	0.767130808419437	-0.599588007266145	-1	0
